cod_serv_propio,Frequency.1,codes,spanish description,english description,comment
281,1,JOFT,C.ESP.OFTALMOLOGIA,,
762,1,MGIN,GINECOLOGIA MONTEOLIVETE,,
804,1,PCA,PSICOLOGIA CONDUCTAS ADICTIVAS,,
673,1,EEMN,C.E.PORT-CONS/EXPL: Neumología,,
753,1,77,Obstetricia,,
339,1,GIN,GINECOLOGIA,,
558,1,10091,MEDICINA INTERNA,,
272,1,CQUE,QUEMADOS,,
671,1,JREU,C.ESP.REUMATOLOGIA,,
436,1,EEMM,C.E.PORT-CONS/EXPL: Dermatología,,
722,1,30,MEDICINA INTERNA,,
204,1,ADIG,MEDICINA DIGESTIVA ALDAIA,,
837,1,HEME,HOSPITAL-CONSULTA: MInt Endocrinología,,
258,1,40,MEDICINA INTERNA,,
800,1,ESM,ENFERMERIA SALUD MENTAL,,
158,1,SNER,NEUROLOGIA,,
541,1,LECR,ENDOCRINO (C.E.LLIRIA),,
12,1,ODO,ODONTO-ESTOMAT.,,
525,1,53,ODONT. Y ESTOMAT. -CE,,
700,1,1350,MEDICINA INTERNA,,
164,1,CMDI,CEX MEDICINA DIGESTIVA,,
579,1,CNEN,NEONATOLOGIA,,
707,1,UROA,UROLOGIA: GENERAL,,
807,1,MSS,MEDICINA SALUD SEXUAL Y REPRODUCTIVA,,
446,1,UEI,UN. ENF. INFEC.,,
791,1,MCA,MEDICINA CONDUCTAS ADICTIVAS,,
480,1,CNRX,CEX. NEURORRADIOLOGIA,,
645,1,MCOT,TRAUMA-CIRUGIA ORTOPEDICA MONT,,
685,1,ANER,NEUROLOGIA ALDAIA,,
513,1,1281,RIESGOS LABORALES,,
189,1,HALE,ALERGOLOGIA,,
386,1,CPED,CEX PEDIATRIA,,
557,1,CARE,CARDIOLOGÍA ALDAIA,,
108,1,UMA,UNIDAD MANO,,
570,1,PAL,CUIDADOS PALIATIVOS,,
137,1,MDIM,MEDICINA DIGESTIVA MISLATA,,
853,1,SEBZ,C.I.SEG-CONS/EXPL:Rehabilitacion,,
896,1,URI,UROLOGIA INFANTIL,,
71,1,ENFC,ENFERMERIA CEX,,
132,1,CUMP,COMITE MARCAPASOS CARDIACO,,
414,1,CTOC,CIRUGÍA TORACICA CEX,,
463,1,GGIN,C.GINECOLOGIA,,
547,1,RHBHACM,REHABILITACIÓN HACLE,,
