cod_prestacion,Frequency.1,codes,spanish description,english description,comment
281,1,300113010000N0000024,COLINESTERASA ERITROCITARIA,,
762,1,300113040000N0000634,CORTISOL SANGRE,,
1078,1,300113120200U0000930,PROTOPORFIRINAS HECES,,
1291,1,300114030000N0000268,MORFOLOGÍA SERIE BLANCA,,
1336,1,300114080100N0000187,MUT.GEN HEMOCROMATOSIS,,
2497,1,300113121000H0001005,FACTOR REUMATOIDE EN LIQUIDO PLEURAL,,
272,1,300113010000N0000015,CAPACIDAD TOTAL DE FIJACION DEL HIERRO,,
902,1,300113050000N0001238,AC ANTI NUCLEARES (ANA) INMUNOFIJACIÓN (INMUNOBLOT),,
837,1,300113050000N0000712,AC ANTI ENDOMISIO,,
2190,1,CCD00223K,UROBILINÓGENO (EN ORINA),,
2203,1,CCD00236K,LEUCOCITOS CUANTIFICADOS POR CITOMETRIA (EN ORINA),,
2637,1,300113030204N0000263,IGE ESPECIFICA  ANIS,,
2531,1,30030600861624102000,"TC OSTEOARTICULAR , HUMERO DERECHO/IZQUIERDO, SIN CONTRASTE Y CON CONTRASTE",,
541,1,300113030204N0000331,IGE ESPECIFICA  MALTA,,
2723,1,30030200201319900000,"ARTROGRAFIA, CADERA AMBAS",,
2060,1,CCD00084K,CUERPOS CETÓNICOS (EN ORINA),,
525,1,300113030204N0000286,IGE ESPECIFICA  CEBOLLA,,
700,1,300113030404N0001722,IGE RECOMBINANTE RARA H 9 LTP (CACAHUETE) F427,,
2353,1,CCD00575K,BACTERIAS POR CITOMETRÍA (EN ORINA),,
579,1,300113030207N0000404,IGE ESPECIFICA  ALMEJA,,
1980,1,ANT000170,PIRAZINAMIDA,,
2741,1,30031001700910800000,"ANGIOGRAFIA, ARCO AORTICO Y SELECTIVA",,
1832,1,30030901521217002000,"RM VASCULAR , ARTERIA AORTO-ILIACA , SIN CONTRASTE Y CON CONTRASTE",,
2807,1,OTPROXIMETRIA,OXIMETRIA,,
1762,1,30030901441623802000,"RM OSTEOARTICULAR , HOMBRO AMBOS, SIN CONTRASTE Y CON CONTRASTE",,
2414,1,THELYC,TEST ALIENTO HELICOBACTER PYLORI,,
1448,1,30030100050101500000,"RX CRANEO/CARA, HUESOS PROPIOS NARIZ",,
557,1,300113030204N0000364,IGE ESPECIFICA ALIMENTOS ORIGEN VEGETAL: PLATANO,,
2654,1,300113030215N0000560,IGE ESPECIFICA  EUCALIPTO,,
2769,1,CCD00263N,NIVELES MEDICAMENTOS:VALLE (EN SANGRE),,
570,1,300113030205N0000389,IGE ESPECIFICA  LECHE DE OVEJA,,
2656,1,300113030215N0000566,IGE ESPECIFICA  NOGAL,,
132,1,0121209260,AC. ANTI-MYCOPLASMA PNEUMONIAE IGM METODO ELISA,,
1451,1,30030100050101800000,"RX CRANEO/CARA, ORBITAS",,
2772,1,CCD00270K,TERCERA FRACCIÓN ORINA,,
2411,1,P323300001,ENDOSCOPIA,,
1690,1,30030600931219202000,"TC VASCULAR , VENAS ABDOMINALES , SIN CONTRASTE Y CON CONTRASTE",,
1717,1,30030801290000000000,PET-TC CABEZA-CUELLO TUMOR RECIDIVA,,
1289,1,300114030000N0000251,"GRANULOCITOS INMADUROS, RECUENTO AUTOMÁTICO",,
566,1,300113030205N0000384,IGE ESPECIFICA  BETA-LACTOGLOBULINA,,
1335,1,300114080100N0000185,FACTOR V DE LEIDEN,,
1231,1,300114010200N0000008,ANTICUERPOS  ANTIPLAQUETARIOS,,
1569,1,30030500770000000000,DOPPLER DE TRANSPLANTE RENAL,,
2470,1,300113030216N0000604,IGE ESPECIFICA  RUDA DORADA,,
1198,1,300113121400X0001050,PROTEÍNAS TOTALES EN LIQUIDOS BIOLOGICOS S.E.,,
80,1,0121207023,AC. ANTI-VIRUS DE LA INMUNODEFICIENCIA HUMANA CONFIRMACION (INNOLIA),,
730,1,300113030415N0001713,IGE RECOMBINANTE RBET V 1 PR-10 (ABEDUL) T215,,
432,1,300113030100N0000128,HOMOCISTEINA,,
810,1,300113040000N0001265,DIHIDROTESTOSTERONA,,
587,1,300113030207N0000422,IGE ESPECIFICA  LANGOSTA,,
945,1,300113070100N0001228,DIBUCAINA,,
904,1,300113050000N0001431,AC ANTI CITOPLASMA DE NEUTRÓFILOS (ANCA) IFI,,
1012,1,300113110000K0000920,ZINC,,
1813,1,30030901470000001000,"RM CARDIACA, SIN CONTRASTE",,
161,1,0121209446,AC. ANTI-RICKETTSIA CONORII IGG METODO IFI,,
363,1,300113020000K0001078,CREATININA EN 24 HORAS,,
2612,1,300113030100N0001165,ACIDO ASPARTICO,,
672,1,300113030300N0001156,PRECIPITINAS PROTEINA PALOMA,,
82,1,0121207040,HIV AG CONFIRMATORIO (ELISA),,
2771,1,CCD00269K,SEGUNDA FRACCIÓN ORINA,,
2428,1,0121209230,AC. ANTI-VIRUS RESPIRATORIO SINCITIAL METODO EIA,,
1258,1,300114029900N0000042,"ANTITROMBINA III, ANTÍGENO",,
2108,1,CCD00139K,HEMOGLOBINA (EN ORINA),,
1303,1,300114040000N0000116,"PIRUVATOQUINASA ERITROCITARIA, DETERMINACIÓN DE",,
2799,1,CCD00508N,ALDOSTERONA TRAS CAPTOPRIL 120 MIN (EN SANGRE),,
1393,1,30030100031624922000,"RX ESQUELETO PERIFERICO, MUÑECA DERECHA/IZQUIERDA, UNA PROYECCION",,
2621,1,300113030100N0001179,LISINA SANGRE,,
781,1,300113040000N0000653,INSULINA,,
10,1,0121202010,UROCULTIVO,,
1256,1,300114029900N0000039,ANTIFACTOR Xa,,
1532,1,30030400631420500000,"ECOGRAFIA ORGANOS/PARTES BLANDAS, ESCROTO",,
2221,1,CCD00259K,TETRAHIDROCANNABINOL (EN ORINA),,
438,1,300113030100N0000134,INMUNOGLOBULINA A2,,
340,1,300113020000K0000083,MORFOLOGÍA HEMATÍES,,
1805,1,30030901460707801000,"RM TORACICA, TORAX, SIN CONTRASTE",,
640,1,300113030214N0000540,IGE ESPECIFICA  ASCARIS,,
2071,1,CCD00095N,FCOHB FRACCIÓN DE CARBOXIHEMOGLOBINA EN HB TOTAL (EN SANGRE),,
1205,1,300113121400X0001292,CREATININA LÍQUIDOS BIOLÓGICOS S.E,,
2782,1,CCD00301N,PH VALOR CORREGIDO POR LA TEMPERATURA (EN SANGRE),,
1702,1,30030601000809302000,"MIELOGRAFIA , MEDULA DORSAL, SIN CONTRASTE Y CON CONTRASTE",,
1639,1,30030600861927501000,"TC OSTEOARTICULAR , CALCANEO DERECHO/IZQUIERDO, SIN CONTRASTE",,
