cod_ud_medida,Frequency.1,codes,spanish description,english description,comment
9,1,g/dL,Gramos / Decilitro,,
34,1,U/mL,Unidades / Mililitro,,
6,1,fL,Femtolitros,,
21,1,mm/h,Milímetros / Hora,,
30,1,seg,Segundos,,
22,1,mm Hg,Milímetros de mercurio,,
14,1,mcg/mg,microgramos/miligramos,,
4,1,-2,[Sin referencia],,
27,1,ng/mL,Nanogramos / Mililitro,,
31,1,µUI/mL,Microunidades internacionales / Mililitro,,
5,1,cm,centímetros,,
7,1,g/24h,Gramos / 24 horas,,
15,1,meq/L,Miliequivalentes / Litro,,
26,1,ng/dL,Nanogramos / Decilitro,,
25,1,mU/mL,Miliunidades / Mililitro,,
12,1,kU/L,Kilounidades / Litro,,
16,1,mg/24h,Miligramos / 24 horas,,
3,1,-1,[Vacio],,
11,1,I,indice,,
29,1,pg/mL,Picogramos / Mililitro,,
19,1,min,Minutos,,
35,1,º,Grados,,
13,1,leu/µL,Leucocitos / Microlitro,,
1,1,.,.,,
20,1,mL/min,Mililitros / minutos,,
24,1,mUI/mL,Miliunidades internacionales / Mililitro,,
8,1,µg/dL,Microgramos / Decilitro,,
28,1,pg,Picogramos,,
10,1,µg/mL,Microgramos / Mililitro,,
32,1,UI/mL,Unidades internacionales / Mililitro,,
33,1,U/L,Unidades / Litro,,
18,1,mg/L,Miligramos / Litro,,
17,1,mg/dL,Miligramos / Decilitro,,
23,1,mmol/L,Milimoles / Litro,,
2,1,%,Tanto por cien,,
