cod_diagnostico,Frequency.4
00084,1817252
401.9,1620428
536.8,1185002
724.2,1142940
272.0,1017248
00046,830018
250.00,744598
305.1,680178
723.1,664409
00082,651517
0008N,596850
272.4,589475
780.4,586558
300.00,544297
00132,526611
719.46,518142
692.9,517654
459.81,509247
780.52,471187
V07.39D,451703
300.0,447949
784.0,446376
427.31,377203
285.9,374717
724.5,349508
719.41,343673
599.0,316836
311,307996
519.8,304988
244.9,301181
564.0,298328
724.3,296128
366.9,291940
00004,284705
278.00,272989
401.1,262903
715,255806
280.9,253035
525.9,251597
729.5,251402
382.9,248327
13.41,238835
995.3,236709
300.4,235448
V27.0,235031
13.71,227334
530.81,226920
99.21,225448
788.3,224655
455.6,223212
787.1,220213
110.1,214128
787.91,213219
99.29,212306
726.90,205611
790.6,205481
522.7,203381
786.2,197798
466.0,196766
719.45,196307
786.09,193666
V58.61,191870
477.9,186217
401,185229
715.9,185134
87.44,184012
V72.31,179127
216.9,177662
101010,177249
472.0,175436
477,174750
078.10,174590
88.72,174028
682.9,173017
595.9,170366
585.9,167113
272.2,166348
272.1,163978
790.4,162038
V15.82,161999
595.0,160860
00001,159432
786.50,158657
00085,158081
709.9,157835
729.1,156934
87.03,155589
486,154398
354.0,152848
708.9,151399
88.76,148236
627.2,148040
715.96,144756
780.2,143849
706.2,143116
73.59,142932
733.90,139094
553.3,136556
733.0,132331
428.0,131779
414.9,130712
496,127343
702.0,126575
38.93,124858
112.1,124578
789.06,124555
595,122933
490,122862
89.52,122110
782.3,122075
616.10,120964
272,120786
726.73,120198
I10,119685
88.01,117685
112.0,116636
388.30,115495
733.00,115371
39.96,114927
278.0,114907
600.00,114820
380.4,114024
214.9,113427
780.79,112744
00146,111067
726.32,108110
922.1,106371
788.30,106306
00047,106252
789.0,104188
366.10,102827
331.0,102158
491.21,102014
698.9,101169
365.9,100516
722.10,100442
448.1,100407
434.91,100225
493.90,100003
87.41,99909
599.7,99339
919.4,98738
735.0,98553
00079,97467
V25,96075
692,95933
702.19,95716
99.04,95693
V14.0,95584
600,95057
00035,92776
99.18,91704
346.9,91420
520.6,91269
584.9,91200
366,90425
367.4,90252
518.81,90133
521.0,89908
V66.7,89760
786.59,89383
75.34,88704
99.19,88479
00078,87607
00044,87313
696.1,86406
717.5,86129
626.6,85914
456.8,85505
723.5,85279
708,84510
218.9,83888
789.00,83537
386.19,83289
0005N,82920
V58.67,82760
03.91,82463
412,82402
550,82010
782.0,81723
487,81537
403.90,80843
562.10,80647
788.0,79657
787.0,79218
574.20,78295
790.9,77129
89.65,76371
00088,76149
455,76032
0001N,75696
565.0,75554
88.78,75306
V45.61,75017
625.3,73794
414.8,73744
389.9,73391
535.5,73107
369.9,73032
10.02,72968
785.6,72688
372.53,72314
715.09,72006
626.0,71931
427.89,71808
414.01,71302
611.71,71077
726.70,70825
796.2,70768
86.3,70766
00133,70481
372.72,70435
571.8,70429
268.9,70228
790,69472
690.10,69377
491.20,68965
780.53,68943
726.10,68862
424.1,68765
373.11,68251
00122,68152
719.4,67970
V43.1,67536
464.10,67378
728.71,67299
V13.00,67063
645.11,66929
553.1,66885
564.1,66881
367.1,66864
473.9,66852
053,66769
428.9,66586
V45.01,65205
V58.66,64562
00208,64558
719.47,64383
00032,64172
787.01,64145
787.2,64118
550.90,63592
491.2,62630
737.30,62623
331.83,62440
790.2,62109
V58.63,61891
