fecha_fin,Frequency.3
2015-12-23,17762.0
2015-10-08,16937.0
2015-12-04,16732.0
2015-04-30,16617.0
2014-12-23,16538.0
2013-12-20,16516.0
2012-12-21,16386.0
2016-03-23,16301.0
2014-12-05,16250.0
2014-04-17,16168.0
2015-02-27,16050.0
2014-03-07,16044.0
2013-12-05,16023.0
2015-01-16,16020.0
2013-03-15,15998.0
2015-03-06,15946.0
2015-02-13,15941.0
2015-04-02,15894.0
2014-12-19,15890.0
2014-01-10,15849.0
2015-01-30,15836.0
2015-12-11,15801.0
2014-04-11,15782.0
2015-02-06,15762.0
2015-01-21,15745.0
2015-02-20,15719.0
2014-02-28,15704.0
2013-10-31,15678.0
2015-12-18,15658.0
2014-11-21,15603.0
2015-04-17,15554.0
2013-12-23,15500.0
2015-01-23,15401.0
2015-01-09,15359.0
2015-03-17,15289.0
2014-01-17,15267.0
2016-02-05,15232.0
2015-10-23,15201.0
2014-11-28,15187.0
2014-03-28,15184.0
2013-03-28,15178.0
2015-03-13,15150.0
2014-12-12,15140.0
2015-05-08,15123.0
2014-05-09,15103.0
2015-04-24,15090.0
2015-11-13,15053.0
2014-01-31,15052.0
2015-06-26,15048.0
2016-03-11,15040.0
2016-03-17,14985.0
2015-11-06,14980.0
2015-04-10,14948.0
2015-03-27,14930.0
2015-05-15,14928.0
2014-05-30,14927.0
2014-02-07,14923.0
2015-03-05,14921.0
2016-12-23,14858.0
2014-02-14,14845.0
2016-04-08,14821.0
2014-06-06,14806.0
2015-11-20,14804.0
2011-12-23,14801.0
2014-04-04,14780.0
2015-02-11,14704.0
2015-04-01,14685.0
2015-11-27,14681.0
2015-02-03,14667.0
2014-11-07,14666.0
2014-10-24,14633.0
2013-02-15,14608.0
2012-02-24,14581.0
2014-03-21,14578.0
2015-05-22,14576.0
2013-02-22,14548.0
2014-02-21,14523.0
2014-05-23,14519.0
2014-01-24,14507.0
2015-06-19,14485.0
2015-02-18,14482.0
2015-10-16,14472.0
2016-04-01,14471.0
2015-01-29,14466.0
2016-02-26,14415.0
2014-06-13,14399.0
2015-01-26,14387.0
2015-10-30,14368.0
2015-01-19,14363.0
2013-03-01,14362.0
2015-10-02,14351.0
2016-01-15,14339.0
2016-05-13,14336.0
2013-01-11,14321.0
2016-04-29,14320.0
2015-02-17,14293.0
2014-10-08,14291.0
2014-07-11,14282.0
2014-03-14,14272.0
2013-12-13,14271.0
2014-06-20,14266.0
2016-01-21,14265.0
2014-11-14,14252.0
2015-01-13,14249.0
2014-10-31,14234.0
2015-02-09,14231.0
2014-04-30,14226.0
2015-06-12,14195.0
2013-03-22,14181.0
2015-03-04,14180.0
2015-02-24,14131.0
2014-03-17,14129.0
2015-02-05,14125.0
2012-03-16,14109.0
2013-11-29,14080.0
2016-01-29,14073.0
2015-09-18,14068.0
2013-05-24,14053.0
2013-10-11,14051.0
2013-04-05,13997.0
2013-11-08,13983.0
2016-12-02,13975.0
2013-10-04,13974.0
2015-02-23,13972.0
2013-02-08,13946.0
2014-10-17,13909.0
2015-03-31,13889.0
2013-05-31,13878.0
2011-04-20,13874.0
2015-03-03,13864.0
2016-05-06,13862.0
2012-03-02,13858.0
2015-02-19,13853.0
2015-09-25,13852.0
2016-02-19,13851.0
2012-03-09,13848.0
2015-01-20,13843.0
2015-05-29,13841.0
2015-02-26,13831.0
2015-12-22,13830.0
2015-01-15,13817.0
2015-12-30,13812.0
2014-02-11,13809.0
2014-05-16,13803.0
2012-01-13,13788.0
2013-11-15,13776.0
2016-02-12,13773.0
2015-06-05,13765.0
2016-05-27,13756.0
2016-04-22,13733.0
2015-01-28,13715.0
2013-05-10,13700.0
2016-06-03,13698.0
2014-02-06,13695.0
2013-04-19,13693.0
2015-02-16,13689.0
2015-01-27,13686.0
2016-06-10,13668.0
2016-04-15,13661.0
2016-03-04,13657.0
2016-05-20,13654.0
2015-12-17,13652.0
2015-07-03,13646.0
2013-06-14,13638.0
2012-02-10,13628.0
2015-02-10,13626.0
2015-10-14,13626.0
2014-04-16,13622.0
2014-04-10,13619.0
2015-02-12,13618.0
2015-02-02,13617.0
2015-04-28,13607.0
2015-01-14,13606.0
2013-11-22,13592.0
2014-01-21,13589.0
2014-10-03,13575.0
2015-11-10,13559.0
2014-02-10,13553.0
2010-12-03,13547.0
2014-12-04,13546.0
2014-06-27,13540.0
2012-02-17,13536.0
2013-05-17,13525.0
2012-01-20,13519.0
2015-07-10,13512.0
2015-02-25,13511.0
2015-11-19,13511.0
2013-04-12,13503.0
2014-02-17,13497.0
