grd,Frequency.9
039,1165171.0
541,1007652.0
373,829315.0
127,604094.0
372,595716.0
544,418238.0
014,348685.0
371,332442.0
089,292051.0
584,272518.0
088,257972.0
359,235223.0
533,231029.0
042,229017.0
087,225618.0
557,219212.0
569,203044.0
101,202407.0
552,199159.0
209,192046.0
162,183043.0
082,181625.0
320,177971.0
818,176391.0
125,171271.0
316,166835.0
311,160984.0
494,160386.0
225,160159.0
270,159900.0
585,156432.0
543,153082.0
370,142385.0
430,141088.0
321,140734.0
204,137143.0
187,136925.0
158,136334.0
172,136206.0
143,133061.0
174,127456.0
854,127427.0
160,126364.0
124,125999.0
208,125545.0
138,125377.0
211,124011.0
040,123094.0
203,122014.0
219,120863.0
116,119693.0
853,117489.0
090,111954.0
395,111508.0
175,109951.0
055,109359.0
550,108954.0
222,108639.0
207,108526.0
140,105782.0
073,105500.0
227,105481.0
122,104927.0
901,104728.0
148,103727.0
832,101023.0
139,99447.0
183,98297.0
551,96196.0
540,95879.0
810,95571.0
467,94652.0
006,93345.0
121,92253.0
243,91340.0
202,88753.0
096,88526.0
102,88404.0
808,87363.0
877,87265.0
867,85895.0
294,83388.0
149,83267.0
566,82746.0
229,82486.0
381,82446.0
182,82317.0
210,82311.0
558,80737.0
105,80112.0
814,79917.0
886,78653.0
188,78618.0
588,78237.0
224,77510.0
461,76899.0
205,76642.0
813,76568.0
266,74347.0
310,73043.0
260,72720.0
189,71644.0
036,70265.0
119,68604.0
015,68291.0
756,67772.0
324,66986.0
130,65464.0
097,64483.0
410,64414.0
296,63305.0
323,62806.0
651,62628.0
574,62354.0
852,61046.0
012,60797.0
075,59555.0
290,58352.0
567,56842.0
315,54682.0
337,54580.0
078,53977.0
141,53325.0
568,52014.0
079,51728.0
545,51589.0
131,51353.0
261,50973.0
142,50460.0
356,49719.0
112,49482.0
173,49165.0
553,48870.0
468,48481.0
361,47439.0
532,46793.0
878,46696.0
002,46094.0
425,45015.0
580,44903.0
463,44238.0
890,43918.0
035,43050.0
549,42860.0
109,42792.0
099,42084.0
560,42071.0
462,42046.0
493,41840.0
466,41662.0
350,41399.0
179,41272.0
335,41185.0
582,40880.0
379,40285.0
360,39985.0
586,39934.0
581,39850.0
398,39796.0
144,39658.0
369,39227.0
429,39222.0
555,38867.0
223,38626.0
180,38530.0
883,38499.0
010,38315.0
889,37228.0
284,36593.0
758,36590.0
258,36153.0
303,35155.0
123,34956.0
895,34757.0
478,34674.0
305,34394.0
239,33613.0
234,33509.0
232,33363.0
882,33279.0
318,33219.0
326,33045.0
236,32962.0
181,32806.0
161,32457.0
419,32304.0
262,32181.0
277,31995.0
254,31967.0
076,31947.0
556,31713.0
065,31566.0
297,31464.0
353,31430.0
479,31272.0
403,30995.0
169,30804.0
351,30723.0
191,30657.0
332,30592.0
891,30187.0
085,30133.0
113,30126.0
548,29957.0
325,29487.0
820,29354.0
423,29124.0
650,29119.0
893,29053.0
159,28981.0
714,28949.0
155,28901.0
578,28690.0
418,28375.0
206,28264.0
053,28176.0
530,28109.0
100,27741.0
167,27623.0
817,27231.0
278,27117.0
008,26950.0
789,26686.0
443,26549.0
133,26407.0
045,26337.0
011,26194.0
453,26041.0
218,26041.0
001,25758.0
452,25730.0
404,25691.0
331,25634.0
563,25633.0
034,25472.0
477,24865.0
449,24825.0
339,24805.0
064,24585.0
134,24515.0
546,24495.0
185,24477.0
358,24255.0
110,24230.0
145,24045.0
767,23868.0
154,23729.0
267,23500.0
464,23451.0
217,23414.0
248,23353.0
364,23283.0
382,23031.0
198,23012.0
304,22894.0
157,22806.0
080,22792.0
069,22775.0
111,22567.0
132,22147.0
539,22133.0
047,21499.0
559,21265.0
268,21179.0
491,21088.0
302,21084.0
249,21076.0
107,20966.0
019,20915.0
256,20845.0
450,20641.0
561,20479.0
271,20435.0
562,20399.0
193,20335.0
319,20205.0
068,20205.0
896,20135.0
375,20025.0
336,19668.0
309,19587.0
482,19514.0
428,19449.0
865,19389.0
577,19354.0
394,19312.0
851,19178.0
288,19129.0
420,18918.0
245,18805.0
192,18634.0
259,18575.0
426,18526.0
766,18509.0
583,18456.0
786,18312.0
564,18200.0
899,18139.0
228,18081.0
170,18042.0
576,17951.0
241,17835.0
573,17808.0
114,17636.0
077,17525.0
300,17351.0
301,17345.0
240,17098.0
812,17027.0
257,16733.0
380,16436.0
480,16412.0
374,16207.0
378,16165.0
118,15924.0
346,15800.0
018,15735.0
013,15691.0
056,15547.0
104,15525.0
135,15517.0
151,15408.0
366,15311.0
442,15305.0
570,15094.0
194,15071.0
538,14959.0
274,14808.0
247,14783.0
347,14675.0
117,14461.0
269,14371.0
147,14333.0
710,14280.0
399,14231.0
363,14215.0
341,14211.0
880,14062.0
755,14033.0
313,13753.0
804,13702.0
897,13650.0
894,13619.0
531,13456.0
579,13444.0
265,13294.0
171,13217.0
892,13200.0
059,13101.0
092,13054.0
349,12951.0
796,12866.0
402,12841.0
197,12646.0
146,12619.0
365,12462.0
750,12288.0
881,12281.0
397,12232.0
765,12177.0
230,12176.0
050,12149.0
286,12089.0
086,11933.0
421,11900.0
751,11720.0
355,11599.0
120,11559.0
879,11445.0
866,11303.0
289,11146.0
427,11142.0
440,11137.0
344,11066.0
095,11046.0
357,10912.0
094,10884.0
571,10803.0
016,10763.0
797,10545.0
839,10399.0
285,10366.0
885,10328.0
057,10322.0
007,10246.0
126,10245.0
233,10183.0
017,10140.0
153,10029.0
283,10006.0
334,9948.0
761,9917.0
317,9896.0
898,9880.0
281,9867.0
093,9850.0
572,9838.0
136,9808.0
876,9630.0
408,9610.0
061,9360.0
401,9336.0
150,9319.0
803,9291.0
565,9288.0
084,9197.0
652,9164.0
244,9152.0
263,9129.0
793,8930.0
226,8900.0
888,8873.0
176,8849.0
782,8835.0
764,8834.0
819,8827.0
554,8625.0
280,8568.0
352,8508.0
887,8491.0
733,8483.0
368,8477.0
066,8473.0
875,8449.0
253,8274.0
837,8095.0
115,8043.0
009,7979.0
152,7930.0
251,7821.0
128,7768.0
731,7712.0
712,7711.0
715,7609.0
413,7569.0
345,7530.0
216,7464.0
307,7426.0
083,7382.0
264,7368.0
293,7340.0
362,7333.0
377,7317.0
063,7312.0
037,7274.0
295,7228.0
023,7207.0
534,7134.0
732,7010.0
838,6958.0
833,6894.0
376,6861.0
108,6829.0
783,6678.0
246,6525.0
414,6372.0
221,6299.0
801,6159.0
165,6115.0
757,6112.0
431,6077.0
536,5970.0
884,5961.0
103,5960.0
748,5875.0
046,5844.0
308,5837.0
276,5536.0
049,5493.0
272,5423.0
836,5161.0
445,5053.0
166,5015.0
432,4760.0
367,4713.0
178,4677.0
753,4608.0
794,4557.0
348,4475.0
828,4464.0
747,4396.0
444,4326.0
874,4313.0
745,4266.0
312,4265.0
800,4247.0
201,4191.0
022,4089.0
795,3994.0
465,3956.0
021,3929.0
338,3893.0
864,3881.0
292,3829.0
177,3825.0
200,3800.0
168,3792.0
199,3762.0
238,3757.0
052,3752.0
716,3688.0
354,3679.0
441,3665.0
447,3615.0
299,3602.0
575,3538.0
038,3538.0
275,3530.0
213,3509.0
707,3459.0
407,3388.0
273,3388.0
740,3364.0
791,3359.0
471,3355.0
329,3322.0
547,3256.0
306,3208.0
704,3197.0
235,3106.0
824,3095.0
744,3082.0
790,3072.0
164,3065.0
287,3011.0
424,2975.0
535,2937.0
242,2874.0
392,2811.0
823,2576.0
850,2386.0
439,2280.0
072,2236.0
051,2055.0
406,2020.0
827,2000.0
709,1982.0
250,1892.0
469,1831.0
129,1718.0
759,1710.0
807,1709.0
044,1642.0
703,1518.0
849,1430.0
737,1422.0
409,1392.0
706,1389.0
454,1378.0
455,1330.0
711,1280.0
805,1248.0
328,1243.0
291,1198.0
713,1131.0
806,1091.0
237,1034.0
821,980.0
106,979.0
749,959.0
196,934.0
708,923.0
734,895.0
798,873.0
700,865.0
470,846.0
195,818.0
787,810.0
730,779.0
705,766.0
826,727.0
792,667.0
822,637.0
743,619.0
825,553.0
802,531.0
701,500.0
067,484.0
811,471.0
746,469.0
760,357.0
702,289.0
809,276.0
476,266.0
043,195.0
071,90.0
829,85.0
633,85.0
799,74.0
634,65.0
900,61.0
627,38.0
629,29.0
754,23.0
617,18.0
773,17.0
775,15.0
769,14.0
060,13.0
816,9.0
628,9.0
422,9.0
620,8.0
621,8.0
630,8.0
631,8.0
618,7.0
781,7.0
041,7.0
070,7.0
333,6.0
163,6.0
623,5.0
220,5.0
