peso_grd,Frequency.10
1.04,1257446.0
2.22,1007652.0
0.69,952526.0
0.59,890789.0
1.30,676725.0
0.88,599794.0
1.41,515289.0
4.16,503547.0
1.10,480975.0
1.67,444881.0
1.18,433034.0
1.06,422702.0
3.30,418238.0
1.02,392478.0
0.68,352873.0
1.01,345245.0
0.73,333017.0
2.77,329353.0
1.19,297807.0
0.82,287456.0
0.85,269883.0
1.08,261477.0
1.03,255164.0
1.09,253244.0
0.71,252824.0
1.68,245821.0
3.06,225845.0
1.91,222005.0
3.85,219212.0
1.00,218252.0
0.93,212017.0
1.81,208064.0
0.81,205881.0
1.74,203044.0
0.99,202407.0
1.40,202283.0
2.05,195153.0
0.98,191608.0
3.15,180220.0
0.87,175072.0
0.96,173448.0
2.90,169674.0
1.32,166835.0
1.11,162053.0
0.61,159265.0
0.74,157185.0
6.46,156432.0
1.38,154142.0
1.53,153469.0
0.58,149549.0
0.54,148291.0
0.91,147283.0
3.51,141218.0
1.31,136549.0
1.49,127456.0
0.92,126188.0
0.72,125547.0
0.29,125375.0
2.08,124934.0
1.86,122014.0
3.46,119693.0
0.77,114916.0
1.16,114457.0
0.79,111954.0
1.43,111036.0
2.88,110405.0
5.67,108954.0
1.12,105481.0
1.63,104927.0
3.04,102038.0
1.20,100686.0
2.72,98223.0
0.94,97413.0
2.75,95571.0
2.93,93784.0
1.82,93184.0
0.97,91711.0
1.65,90518.0
43.47,87265.0
2.10,85954.0
1.23,85895.0
0.76,82446.0
6.23,80737.0
5.91,80112.0
0.56,79930.0
1.21,79343.0
4.65,79014.0
0.89,78460.0
1.25,78237.0
1.77,78075.0
2.86,77597.0
0.65,76532.0
1.07,76258.0
0.64,72682.0
1.61,71562.0
0.84,68743.0
2.16,68615.0
3.07,67772.0
1.75,67473.0
0.50,66986.0
3.62,64954.0
0.67,64692.0
1.22,64414.0
2.85,63307.0
1.98,58958.0
4.85,57471.0
5.78,56842.0
0.62,54913.0
1.47,53977.0
15.07,51589.0
0.63,50601.0
2.04,50243.0
1.52,48530.0
2.80,48498.0
4.55,48481.0
0.66,47946.0
0.78,47798.0
1.57,47231.0
1.97,46793.0
26.59,46696.0
2.44,46458.0
0.57,46146.0
3.20,46094.0
1.36,45405.0
2.55,44908.0
2.33,44680.0
1.58,43493.0
10.44,42860.0
4.52,42792.0
0.51,41662.0
2.54,41241.0
1.89,41185.0
0.45,40294.0
1.92,39967.0
7.28,39850.0
0.86,39310.0
0.47,39211.0
8.93,38867.0
1.13,38628.0
1.05,38499.0
2.30,37641.0
1.48,35425.0
2.00,35310.0
2.41,35170.0
3.95,34956.0
2.83,34674.0
1.62,33509.0
1.35,33363.0
4.56,33279.0
1.55,32965.0
1.15,32228.0
2.98,31947.0
1.29,31567.0
2.09,30980.0
0.80,30819.0
4.62,30657.0
1.66,30371.0
1.50,30329.0
0.95,30156.0
6.43,29957.0
1.84,29887.0
6.00,28690.0
12.13,28109.0
3.79,27231.0
2.48,26085.0
2.07,25762.0
1.17,25476.0
0.70,24961.0
9.74,24495.0
4.39,24230.0
3.13,23908.0
1.99,23635.0
3.17,23414.0
0.26,23031.0
0.75,22998.0
2.15,22894.0
1.39,22840.0
3.16,22567.0
6.65,22133.0
2.27,21965.0
4.21,21265.0
9.66,21084.0
6.03,20966.0
