cie9p,Frequency.3,codes,spanish description,english description,comment
13.41          ,238835,284,FACOEMULSIFICACION Y ASPIRACION DE CATARATA,,
13.71          ,227334,1246,INS.PROTESIS CRIST.INTRAOC.MOMENTO EXTRAC.CATARATA UNA ETAPA,,
99.21          ,225448,Unknown,Unknown,,
99.29          ,212306,1671,INYECCION O INFUSION DE OTRA SUSTANCIA TERAPEUTICA O PROFILA,,
87.44          ,184012,Unknown,Unknown,,
88.72          ,174028,Unknown,Unknown,,
87.03          ,155589,Unknown,Unknown,,
88.76          ,148236,Unknown,Unknown,,
73.59          ,142932,Unknown,Unknown,,
38.93          ,124858,1765,OTRO CATETERISMO VENOSO N.C.O.C.,,
89.52          ,122110,Unknown,Unknown,,
88.01          ,117685,Unknown,Unknown,,
39.96          ,114927,Unknown,Unknown,,
87.41          ,99909,Unknown,Unknown,,
99.04          ,95693,Unknown,Unknown,,
99.18          ,91704,Unknown,Unknown,,
75.34          ,88704,Unknown,Unknown,,
99.19          ,88479,Unknown,Unknown,,
03.91          ,82463,Unknown,Unknown,,
89.65          ,76371,Unknown,Unknown,,
88.78          ,75306,Unknown,Unknown,,
86.3           ,70766,103,OTRA EXCIS.LOCAL O DESTR. LESION O TEJIDO DE PIEL Y T.SUBCUT,,
88.91          ,59653,Unknown,Unknown,,
73.6           ,57959,1723,EPISIOTOMIA,,
93.96          ,55367,Unknown,Unknown,,
74.1           ,51464,1559,CESAREA CERVICAL BAJA,,
99.23          ,48410,Unknown,Unknown,,
23.19          ,46421,954,OTRA EXTRACCION QUIRURGICA DE DIENTE,,
88.38          ,42359,Unknown,Unknown,,
3E03329        ,39014,Unknown,Unknown,,
73.4           ,38725,1558,INDUCCION MEDICA DE PARTO,,
51.23          ,37120,858,COLECISTECTOMIA LAPAROSCOPICA,,
44.13          ,36859,323,OTRA GASTROSCOPIA,,
93.94          ,36063,Unknown,Unknown,,
75.69          ,35656,Unknown,Unknown,,
