fecha_alta,Frequency.6
2015-12-23,5714.0
2015-10-08,5708.0
2015-12-04,5612.0
2015-04-30,5319.0
2015-03-17,5251.0
2013-12-20,5188.0
2014-12-05,5182.0
2015-02-20,5180.0
2014-03-07,5172.0
2015-03-06,5165.0
2015-02-27,5164.0
2015-04-02,5160.0
2015-10-23,5159.0
2015-01-16,5136.0
2014-02-28,5124.0
2014-11-21,5116.0
2015-02-13,5113.0
2014-12-19,5113.0
2015-04-24,5089.0
2015-06-26,5081.0
2015-11-13,5080.0
2014-04-11,5079.0
2015-01-21,5042.0
2014-12-23,5041.0
2015-12-11,5032.0
2015-05-08,5017.0
2015-05-15,5009.0
2015-01-30,4996.0
2015-11-20,4993.0
2015-11-27,4990.0
2013-12-05,4985.0
2015-01-23,4979.0
2013-10-31,4977.0
2015-02-06,4961.0
2015-04-17,4946.0
2015-03-13,4924.0
2014-12-12,4915.0
2015-10-02,4914.0
2015-12-18,4911.0
2014-11-28,4902.0
2014-11-07,4899.0
2014-04-17,4892.0
2015-03-05,4892.0
2013-03-15,4889.0
2014-01-10,4886.0
2015-02-11,4884.0
2015-03-27,4875.0
2014-06-06,4868.0
2015-04-01,4843.0
2015-11-06,4841.0
2015-10-30,4828.0
2015-09-18,4823.0
2015-10-16,4821.0
2015-02-24,4819.0
2014-05-09,4804.0
2014-02-07,4798.0
2015-02-03,4788.0
2014-05-30,4788.0
2015-02-18,4777.0
2014-01-31,4771.0
2015-01-09,4766.0
2015-11-25,4759.0
2015-05-22,4759.0
2014-04-04,4736.0
2015-02-23,4735.0
2014-11-14,4734.0
2015-10-14,4717.0
2015-11-10,4713.0
2015-02-16,4700.0
2012-12-21,4699.0
2014-10-24,4695.0
2014-03-28,4694.0
2015-10-07,4692.0
2015-11-05,4685.0
2015-03-04,4680.0
2015-04-10,4677.0
2015-01-29,4676.0
2015-03-03,4668.0
2015-02-17,4666.0
2015-02-19,4663.0
2015-02-10,4663.0
2014-06-13,4661.0
2015-11-19,4659.0
2015-03-11,4658.0
2015-06-19,4657.0
2015-06-12,4656.0
