fecha_ingreso,Frequency.5
2015-02-16,5178.0
2015-01-19,5052.0
2015-11-09,5021.0
2015-10-05,4987.0
2015-02-23,4980.0
2014-12-15,4968.0
2015-02-09,4962.0
2015-03-24,4924.0
2015-11-02,4918.0
2015-12-14,4903.0
2015-03-11,4900.0
2015-06-08,4899.0
2015-10-26,4894.0
2015-11-18,4882.0
2015-11-23,4879.0
2015-03-03,4858.0
2015-05-04,4847.0
2015-03-23,4827.0
2014-12-01,4827.0
2015-01-26,4823.0
2014-11-17,4820.0
2015-03-02,4816.0
2014-01-27,4811.0
2015-01-27,4808.0
2015-03-09,4807.0
2015-11-16,4799.0
2015-10-14,4780.0
2015-11-10,4770.0
2014-02-24,4768.0
2014-11-10,4763.0
2015-02-11,4761.0
2015-01-13,4760.0
2015-10-19,4760.0
2015-02-18,4754.0
2015-04-20,4750.0
2015-12-09,4747.0
2015-01-12,4731.0
2015-11-17,4725.0
2015-02-24,4722.0
2015-05-11,4722.0
2015-05-25,4721.0
2015-02-03,4719.0
2015-02-02,4718.0
2015-03-16,4718.0
2015-11-30,4695.0
2014-06-09,4673.0
2015-05-18,4667.0
2015-10-20,4664.0
2015-06-01,4643.0
2015-02-10,4640.0
2015-06-16,4633.0
2014-05-12,4628.0
2014-03-10,4621.0
2015-04-14,4621.0
2014-04-07,4616.0
2015-02-17,4611.0
2014-03-31,4610.0
2015-04-28,4603.0
2015-06-15,4591.0
2015-02-26,4584.0
2014-11-03,4584.0
2015-01-28,4576.0
2015-04-27,4573.0
2015-10-06,4567.0
2015-03-30,4566.0
2014-12-09,4563.0
2015-03-10,4562.0
2015-10-27,4560.0
2015-02-25,4557.0
2014-12-16,4553.0
2014-04-14,4550.0
2015-11-25,4549.0
2014-11-24,4548.0
2015-11-04,4547.0
2014-03-24,4547.0
2014-05-19,4547.0
2015-11-24,4544.0
2015-10-13,4535.0
2015-06-09,4529.0
2015-05-19,4524.0
2015-06-29,4517.0
2015-03-05,4517.0
2015-01-29,4502.0
2014-11-19,4501.0
2015-11-11,4497.0
2015-10-21,4491.0
2014-03-03,4490.0
2015-04-21,4487.0
2014-02-17,4486.0
2015-01-21,4476.0
2014-11-18,4474.0
2014-02-10,4474.0
2015-10-28,4470.0
2015-01-14,4468.0
2014-05-26,4465.0
2015-04-15,4463.0
2015-02-04,4462.0
2014-10-06,4459.0
2015-11-19,4457.0
2015-11-05,4447.0
2014-01-15,4446.0
2014-11-11,4437.0
2015-06-10,4433.0
2014-01-13,4432.0
2014-05-05,4431.0
2015-01-07,4419.0
2015-10-01,4416.0
2014-10-20,4415.0
2015-03-25,4415.0
2015-05-05,4414.0
2014-02-03,4411.0
2015-04-22,4410.0
2014-10-28,4409.0
2015-09-28,4409.0
2015-05-06,4401.0
2014-11-04,4400.0
2014-02-11,4398.0
2014-12-10,4396.0
2013-02-18,4390.0
2015-05-27,4388.0
2013-12-02,4385.0
2014-10-13,4380.0
2015-06-03,4376.0
2015-12-01,4373.0
2014-06-16,4373.0
2015-05-12,4371.0
2014-12-03,4366.0
2014-03-11,4352.0
2015-01-15,4348.0
2015-11-12,4343.0
2014-11-06,4337.0
2014-04-08,4336.0
2014-10-27,4334.0
2014-04-29,4322.0
2014-06-02,4316.0
2015-06-17,4315.0
2015-09-21,4309.0
2016-02-01,4306.0
2015-12-21,4305.0
2015-12-02,4304.0
