grd,Frequency.8
039,561141.0
373,385750.0
372,249499.0
541,218694.0
371,124828.0
359,113229.0
042,102474.0
014,96071.0
127,91934.0
544,82858.0
270,73815.0
225,68225.0
209,66786.0
162,66530.0
585,62716.0
854,61704.0
818,61181.0
584,60992.0
533,60282.0
125,59682.0
311,59423.0
494,58933.0
853,58893.0
557,56774.0
187,56580.0
089,53533.0
219,53255.0
158,53182.0
227,52408.0
040,50642.0
088,50197.0
552,50194.0
222,49419.0
370,47927.0
082,45892.0
055,45289.0
550,44631.0
211,44370.0
116,44334.0
381,43501.0
160,43258.0
808,43199.0
124,42064.0
877,40298.0
756,39990.0
087,39828.0
208,38763.0
569,38525.0
148,38102.0
204,37654.0
867,37545.0
105,37233.0
036,36895.0
073,36432.0
543,36392.0
260,36280.0
229,34792.0
316,34388.0
006,34255.0
149,34152.0
266,33946.0
224,33651.0
430,32341.0
101,32237.0
172,32064.0
203,31512.0
143,30821.0
852,30749.0
183,30270.0
321,29349.0
832,28804.0
175,28799.0
461,28598.0
320,28307.0
174,28086.0
207,28002.0
395,27562.0
122,26603.0
243,26255.0
119,25532.0
886,25221.0
558,25116.0
467,24893.0
810,24693.0
090,24388.0
075,24200.0
545,23806.0
324,23439.0
323,23410.0
651,22934.0
139,22820.0
138,22722.0
290,22683.0
551,22324.0
210,21759.0
814,21731.0
540,21564.0
202,21383.0
361,21070.0
261,21000.0
121,20793.0
002,20781.0
310,20554.0
901,20535.0
112,20352.0
567,20100.0
189,19321.0
109,19113.0
337,18943.0
878,18938.0
883,18743.0
356,18534.0
410,17996.0
182,17950.0
553,17718.0
468,17654.0
588,17595.0
015,17439.0
096,17370.0
360,17132.0
140,17047.0
353,17001.0
188,16927.0
566,16628.0
102,16485.0
258,16462.0
893,16336.0
335,16293.0
574,16193.0
758,16174.0
205,16123.0
555,15915.0
315,15876.0
549,15868.0
078,15763.0
173,15450.0
223,15395.0
097,15026.0
379,14987.0
305,14809.0
351,14807.0
284,14656.0
142,14572.0
179,14542.0
232,14463.0
262,14302.0
012,14051.0
167,14034.0
813,13948.0
581,13938.0
053,13831.0
234,13788.0
479,13642.0
369,13444.0
169,13339.0
350,13153.0
131,13017.0
462,12795.0
303,12627.0
035,12624.0
890,12527.0
493,12490.0
530,12426.0
155,12390.0
141,12253.0
130,12152.0
882,12021.0
478,11987.0
532,11800.0
294,11791.0
568,11694.0
191,11619.0
865,11510.0
556,11287.0
466,11239.0
076,11206.0
546,10967.0
375,10959.0
008,10954.0
580,10880.0
296,10870.0
254,10851.0
079,10848.0
107,10747.0
217,10741.0
443,10516.0
582,10454.0
548,10355.0
364,10094.0
267,9971.0
001,9786.0
817,9744.0
358,9457.0
586,9398.0
339,9363.0
206,9349.0
650,9332.0
154,9284.0
891,9278.0
560,9237.0
482,9166.0
332,9149.0
010,9149.0
578,9107.0
111,8969.0
110,8946.0
425,8901.0
789,8889.0
403,8853.0
895,8824.0
477,8775.0
896,8768.0
404,8725.0
889,8693.0
302,8614.0
011,8588.0
463,8538.0
268,8227.0
480,8194.0
144,8176.0
198,8174.0
239,8162.0
099,8108.0
045,8105.0
398,8096.0
047,8079.0
378,8024.0
374,7973.0
065,7973.0
104,7965.0
218,7959.0
100,7940.0
113,7936.0
429,7931.0
085,7920.0
192,7915.0
539,7863.0
326,7852.0
259,7835.0
193,7724.0
786,7696.0
304,7535.0
491,7481.0
573,7445.0
123,7413.0
181,7362.0
576,7292.0
418,7277.0
161,7264.0
394,7236.0
464,7181.0
278,7156.0
559,7117.0
583,7070.0
151,7047.0
159,7042.0
077,7037.0
309,6913.0
180,6840.0
423,6824.0
363,6783.0
194,6687.0
248,6664.0
382,6662.0
380,6661.0
755,6606.0
419,6491.0
056,6486.0
185,6461.0
145,6431.0
228,6423.0
820,6307.0
288,6296.0
453,6289.0
767,6260.0
899,6174.0
019,6170.0
170,6154.0
069,6114.0
892,6105.0
157,6085.0
256,6062.0
804,6047.0
538,6030.0
564,6025.0
880,6021.0
318,6003.0
257,5988.0
331,5923.0
577,5872.0
034,5864.0
277,5854.0
297,5804.0
714,5802.0
134,5769.0
245,5762.0
579,5748.0
365,5725.0
013,5714.0
059,5685.0
347,5633.0
357,5595.0
064,5560.0
171,5551.0
080,5486.0
561,5466.0
147,5436.0
355,5399.0
402,5382.0
851,5359.0
879,5301.0
563,5295.0
341,5275.0
452,5215.0
236,5156.0
325,5149.0
344,5013.0
336,4996.0
420,4979.0
531,4957.0
442,4914.0
313,4895.0
241,4883.0
881,4828.0
050,4808.0
057,4726.0
885,4718.0
249,4684.0
319,4614.0
230,4541.0
440,4518.0
118,4480.0
095,4463.0
301,4409.0
240,4384.0
286,4325.0
114,4314.0
652,4260.0
349,4197.0
146,4189.0
265,4174.0
803,4163.0
061,4131.0
766,4047.0
796,4018.0
133,3984.0
450,3969.0
197,3923.0
068,3887.0
571,3867.0
086,3850.0
449,3799.0
812,3787.0
117,3765.0
793,3760.0
377,3749.0
247,3735.0
269,3721.0
562,3712.0
797,3676.0
839,3648.0
289,3612.0
894,3600.0
897,3544.0
408,3527.0
837,3515.0
018,3500.0
898,3496.0
833,3491.0
399,3467.0
888,3425.0
401,3408.0
150,3383.0
300,3344.0
866,3332.0
565,3328.0
782,3274.0
153,3270.0
007,3254.0
092,3254.0
362,3236.0
710,3234.0
017,3201.0
875,3199.0
120,3198.0
352,3150.0
876,3144.0
887,3144.0
094,3140.0
732,3133.0
233,3130.0
093,3130.0
108,3122.0
334,3110.0
570,3107.0
366,3091.0
765,3089.0
884,3085.0
165,3034.0
132,3028.0
264,3024.0
428,3016.0
731,2990.0
368,2977.0
135,2962.0
346,2954.0
421,2947.0
271,2929.0
063,2909.0
281,2908.0
226,2887.0
307,2835.0
274,2832.0
037,2830.0
750,2828.0
397,2807.0
126,2776.0
103,2728.0
761,2692.0
216,2627.0
426,2623.0
783,2604.0
084,2589.0
751,2576.0
251,2568.0
115,2558.0
345,2542.0
263,2540.0
733,2514.0
016,2473.0
293,2402.0
049,2363.0
285,2358.0
376,2357.0
176,2346.0
152,2340.0
819,2322.0
572,2250.0
554,2222.0
536,2195.0
801,2179.0
838,2129.0
795,2070.0
066,2063.0
534,2047.0
136,2027.0
757,2015.0
317,2004.0
283,1918.0
276,1898.0
338,1881.0
864,1851.0
221,1851.0
764,1850.0
836,1848.0
023,1787.0
790,1784.0
441,1779.0
166,1769.0
414,1764.0
712,1748.0
083,1745.0
246,1739.0
295,1737.0
427,1733.0
052,1732.0
308,1726.0
413,1702.0
009,1691.0
021,1688.0
791,1666.0
253,1651.0
244,1636.0
445,1620.0
128,1619.0
471,1618.0
715,1552.0
354,1511.0
874,1510.0
280,1477.0
794,1476.0
178,1473.0
547,1454.0
407,1393.0
828,1350.0
575,1348.0
824,1342.0
200,1332.0
201,1318.0
753,1317.0
038,1286.0
707,1272.0
199,1262.0
823,1260.0
432,1232.0
367,1191.0
424,1186.0
168,1177.0
392,1163.0
292,1146.0
312,1125.0
164,1113.0
704,1104.0
800,1063.0
177,1057.0
748,1051.0
850,1032.0
740,1026.0
431,1026.0
272,992.0
329,985.0
444,980.0
299,965.0
306,961.0
439,961.0
046,951.0
807,930.0
273,930.0
213,903.0
022,869.0
745,863.0
275,827.0
465,817.0
051,803.0
242,793.0
406,784.0
287,766.0
238,761.0
