peso_grd,Frequency.9
1.04,587650.0
0.59,399745.0
0.69,344731.0
2.22,218694.0
1.10,197228.0
0.88,186337.0
1.01,154634.0
1.41,147448.0
1.02,132520.0
2.77,131986.0
4.16,121274.0
0.73,120025.0
1.67,118395.0
1.30,109385.0
0.68,100432.0
1.06,98078.0
1.19,96177.0
1.09,93098.0
0.82,92747.0
1.18,88799.0
0.93,88154.0
3.30,82858.0
0.85,81465.0
1.08,76683.0
0.96,76140.0
1.40,73779.0
3.51,68177.0
1.68,65706.0
2.90,64958.0
0.87,64803.0
0.71,64246.0
1.00,63971.0
1.91,63549.0
6.46,62716.0
3.15,62327.0
0.81,62108.0
1.53,59774.0
0.74,59247.0
3.06,59083.0
3.85,56774.0
1.11,52923.0
1.12,52408.0
1.81,52279.0
1.03,48807.0
0.54,47729.0
0.98,47600.0
2.05,45629.0
5.67,44631.0
2.08,44543.0
3.46,44334.0
0.76,43501.0
0.91,40855.0
2.88,40706.0
43.47,40298.0
3.07,39990.0
0.29,39700.0
0.72,38764.0
1.74,38525.0
0.61,37812.0
1.07,37566.0
1.23,37545.0
5.91,37233.0
1.82,36844.0
1.38,35595.0
0.58,34630.0
1.32,34388.0
1.31,34191.0
2.93,33194.0
2.16,32451.0
0.77,32450.0
0.99,32237.0
0.97,31639.0
1.86,31512.0
1.43,30932.0
2.86,30354.0
1.65,30276.0
0.94,29634.0
1.16,29549.0
1.49,28086.0
1.63,26603.0
0.92,25978.0
4.65,25661.0
1.20,25233.0
6.23,25116.0
2.75,24693.0
1.77,24487.0
0.79,24388.0
15.07,23806.0
3.04,23743.0
0.50,23439.0
1.98,23393.0
2.72,22988.0
0.89,22427.0
0.65,22210.0
0.56,21737.0
4.85,21073.0
3.20,20781.0
5.78,20100.0
0.62,19917.0
1.61,19526.0
4.52,19113.0
26.59,18938.0
1.58,18864.0
1.05,18743.0
1.48,18100.0
2.85,18098.0
0.64,18036.0
1.22,17996.0
1.75,17785.0
4.55,17654.0
1.25,17595.0
2.10,17589.0
1.92,17403.0
0.63,16872.0
0.84,16326.0
1.89,16293.0
1.21,16043.0
2.44,15959.0
8.93,15915.0
10.44,15868.0
0.78,15863.0
1.47,15763.0
3.62,15717.0
1.13,15396.0
0.67,15078.0
2.04,15043.0
0.45,14990.0
1.35,14463.0
1.36,14461.0
7.28,13938.0
1.62,13788.0
2.30,13156.0
0.47,12775.0
12.13,12426.0
1.29,12366.0
1.57,12304.0
2.80,12279.0
2.54,12107.0
4.56,12021.0
2.83,11987.0
1.50,11923.0
0.66,11827.0
2.00,11818.0
1.97,11800.0
2.33,11786.0
1.84,11645.0
4.62,11619.0
2.09,11556.0
1.55,11555.0
0.51,11239.0
2.98,11206.0
9.74,10967.0
2.55,10883.0
6.03,10747.0
3.17,10741.0
0.57,10729.0
2.41,10499.0
6.43,10355.0
0.80,10307.0
0.95,9792.0
3.79,9744.0
5.27,9166.0
2.23,9110.0
6.00,9107.0
1.52,9094.0
3.16,8969.0
1.39,8960.0
4.39,8946.0
3.55,8768.0
9.66,8614.0
26.88,8194.0
8.39,7965.0
3.03,7915.0
6.65,7863.0
3.82,7724.0
3.90,7696.0
1.45,7693.0
0.86,7571.0
2.15,7535.0
2.48,7513.0
2.67,7445.0
3.95,7413.0
2.27,7306.0
14.54,7292.0
4.21,7117.0
1.15,7100.0
5.53,7070.0
1.85,7037.0
2.07,6730.0
2.36,6687.0
0.26,6662.0
0.70,6609.0
3.74,6606.0
0.75,6540.0
1.66,6324.0
0.52,6199.0
1.78,6105.0
14.74,6047.0
5.87,6030.0
4.96,6025.0
3.11,6021.0
1.70,5988.0
4.90,5872.0
1.17,5866.0
1.44,5795.0
10.08,5748.0
3.76,5466.0
2.20,5436.0
1.26,5417.0
1.34,5401.0
8.25,5359.0
7.59,5301.0
1.99,5154.0
2.74,5025.0
7.21,4957.0
2.13,4914.0
9.63,4828.0
1.27,4746.0
3.13,4615.0
1.33,4541.0
1.88,4442.0
3.02,4189.0
2.39,4174.0
28.32,4163.0
4.05,3867.0
12.06,3760.0
1.56,3721.0
2.06,3599.0
2.35,3527.0
9.38,3491.0
2.21,3475.0
2.12,3425.0
3.78,3408.0
4.74,3328.0
5.65,3274.0
2.91,3234.0
1.28,3209.0
2.87,3198.0
1.14,3140.0
4.41,3133.0
4.81,3122.0
2.28,3110.0
5.47,3085.0
6.04,2990.0
4.03,2776.0
0.90,2767.0
44.35,2728.0
0.60,2629.0
2.71,2627.0
4.73,2558.0
1.60,2473.0
3.09,2358.0
30.54,2070.0
3.26,2047.0
2.96,1851.0
3.98,1848.0
5.10,1618.0
1.94,1511.0
4.14,1510.0
6.42,1476.0
13.86,1454.0
2.34,1393.0
6.60,1348.0
5.24,1342.0
3.29,1318.0
7.08,1272.0
3.10,1262.0
8.11,1260.0
1.24,1186.0
2.50,1163.0
1.90,1113.0
3.61,1104.0
4.18,1063.0
10.09,1032.0
0.44,933.0
4.92,930.0
1.37,869.0
0.00,864.0
3.67,784.0
3.70,660.0
12.20,615.0
6.66,586.0
17.41,573.0
5.71,547.0
7.79,535.0
7.62,534.0
27.72,498.0
2.17,450.0
3.92,435.0
6.84,408.0
4.82,377.0
2.37,374.0
1.93,365.0
0.41,363.0
7.33,358.0
24.44,342.0
2.70,331.0
1.71,329.0
12.71,300.0
3.18,286.0
12.51,247.0
22.58,206.0
7.03,201.0
2.63,163.0
27.15,141.0
6.22,133.0
3.23,124.0
10.66,95.0
3.36,82.0
3.45,47.0
15.22,46.0
6.44,29.0
0.42,27.0
0.22,12.0
2.51,6.0
