cadencia,Frequency.5
24.00,25407818.0
8.00,11341763.0
12.00,8513686.0
0.00,5017258.0
6.00,991245.0
168.00,541054.0
48.00,313474.0
720.00,263799.0
72.00,237338.0
4.00,95473.0
360.00,75552.0
4320.00,57989.0
672.00,50536.0
1.00,29748.0
336.00,27215.0
288.00,23377.0
96.00,23353.0
504.00,19808.0
120.00,19152.0
2160.00,17049.0
240.00,15994.0
576.00,12919.0
1440.00,11717.0
192.00,11579.0
23.00,9886.0
18.00,9042.0
3.00,8913.0
5.00,8495.0
144.00,6954.0
20.00,5667.0
480.00,5338.0
2.00,4949.0
36.00,4945.0
7.00,4788.0
30.00,4544.0
10.00,4241.0
15.00,2928.0
1080.00,2874.0
22.00,2777.0
11.00,2388.0
21.00,2031.0
8760.00,2007.0
28.00,1581.0
25.00,1550.0
960.00,1543.0
2880.00,1456.0
2016.00,1455.0
600.00,1177.0
14.00,1043.0
60.00,1034.0
84.00,1007.0
16.00,868.0
9.00,864.0
1680.00,752.0
2400.00,640.0
744.00,607.0
1344.00,593.0
40.00,591.0
216.00,574.0
1200.00,560.0
1008.00,500.0
840.00,457.0
19.00,395.0
1512.00,384.0
696.00,335.0
90.00,328.0
408.00,322.0
432.00,310.0
13.00,304.0
35.00,265.0
4296.00,264.0
1920.00,259.0
4368.00,245.0
34.00,235.0
180.00,210.0
50.00,207.0
68.00,198.0
624.00,195.0
4392.00,194.0
4800.00,189.0
1152.00,187.0
8736.00,177.0
3600.00,165.0
17.00,163.0
32.00,161.0
42.00,157.0
124.00,153.0
1800.00,142.0
88.00,135.0
56.00,131.0
26.00,128.0
45.00,122.0
792.00,121.0
4440.00,121.0
264.00,118.0
46.00,112.0
86.00,108.0
70.00,105.0
108.00,102.0
365.00,102.0
648.00,101.0
4272.00,99.0
1728.00,94.0
29.00,94.0
78.00,94.0
27.00,91.0
74.00,79.0
384.00,76.0
23.90,75.0
80.00,73.0
312.00,71.0
528.00,69.0
128.00,62.0
38.00,61.0
33.00,61.0
100.00,58.0
552.00,45.0
44.00,43.0
2352.00,41.0
2040.00,41.0
75.00,39.0
888.00,38.0
2136.00,38.0
179.00,35.0
864.00,35.0
76.00,34.0
54.00,31.0
8640.00,27.0
3840.00,27.0
7200.00,27.0
1704.00,27.0
1176.00,27.0
4560.00,27.0
2688.00,27.0
121.00,26.0
2184.00,26.0
456.00,26.0
28.80,25.0
768.00,25.0
2208.00,24.0
2976.00,24.0
81.00,24.0
47.00,24.0
73.00,23.0
3.50,22.0
92.00,22.0
31.20,21.0
112.00,21.0
1560.00,21.0
4200.00,20.0
3120.00,19.0
37.00,19.0
167.00,18.0
912.00,18.0
1848.00,18.0
64.00,17.0
214.00,17.0
248.00,17.0
126.00,17.0
1392.00,17.0
1224.00,17.0
936.00,16.0
284.00,16.0
4416.00,16.0
65.00,15.0
2112.00,15.0
31.00,15.0
4344.00,15.0
4464.00,15.0
150.00,15.0
2520.00,14.0
52.00,14.0
71.00,14.0
4.50,14.0
39.00,13.0
812.00,13.0
58.00,13.0
1320.00,13.0
55.20,13.0
5040.00,12.0
3360.00,12.0
1.50,12.0
148.00,12.0
5.50,12.0
2640.00,12.0
55.00,12.0
816.00,12.0
23.50,12.0
49.00,11.0
1056.00,11.0
241.00,11.0
156.00,10.0
43.00,10.0
824.00,10.0
4248.00,10.0
1776.00,9.0
52.80,9.0
182.00,9.0
82.00,9.0
140.00,9.0
247.00,8.0
224.00,8.0
87.00,8.0
1248.00,8.0
2232.00,8.0
612.00,8.0
364.00,8.0
5760.00,8.0
63.00,8.0
200.00,8.0
2.50,7.0
1104.00,7.0
67.20,7.0
7.50,7.0
98.00,6.0
1296.00,6.0
1488.00,6.0
26.40,6.0
6480.00,6.0
1464.00,6.0
2064.00,6.0
6000.00,6.0
25.68,5.0
6720.00,5.0
66.00,5.0
61.00,5.0
324.00,5.0
85.00,5.0
1032.00,5.0
162.00,5.0
243.00,5.0
69.60,5.0
2280.00,5.0
1992.00,5.0
11.90,5.0
