cod_atc4,Frequency.9,codes,spanish description,english description,comment
M01AE,3559384.0,2516,DERIVADOS DEL ACIDO PROPIONICO (AINES),,
N02BE,3014768.0,2546,ANILINAS (ANALGESICOS),,
A02BC,2808683.0,2194,INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA),,
N05BA,2533630.0,2574,BENZODIAZEPINAS (ANSIOLITICOS),,
C10AA,1847118.0,2336,INHIBIDORES DE LA HMG-CoA REDUCTASA (HIPOLIPEM.),,
N02BB,1422908.0,2545,PIRAZOLONAS (ANALGESICOS),,
N02AJ,1239895.0,2542,OPIOIDES COMBINADOS CON OTROS ANALGESICOS,,
J01CR,1026268.0,2455,"ASOCIACIONES DE PENICILINAS, INCL. INHIB.BETALACT.",,
R06AX,965939.0,2640,OTROS ANTIHISTAMINICOS DE USO SISTEMICO,,
B01AC,920477.0,2265,INHIBIDORES DE LA AGREGACION PLAQUETARIA,,
J01FA,912801.0,2465,MACROLIDOS (ANTIINFECCIOSOS SISTEMICOS),,
J01MA,905024.0,2469,FLUORQUINOLONAS (ANTIINFECCIOSOS SISTEMICOS),,
N06AB,784156.0,2583,INHIB. SELECTIVOS RECAPTACION SEROTONINA (ANTIDEP),,
D07AC,724522.0,2368,CORTICOSTEROIDES POTENTES-GRUPO III (DERMATOLOGIC),,
H03AA,689222.0,2444,HORMONAS TIROIDEAS,,
C09CA,665351.0,2331,ANTAGONISTAS ANGIOTENSINA II SOLOS,,
N06AX,650800.0,2585,OTROS ANTIDEPRESIVOS,,
A03FA,608810.0,2204,PROPULSIVOS,,
N03AX,607050.0,2557,OTROS ANTIEPILEPTICOS,,
H02AB,583679.0,2442,GLUCOCORTICODES,,
M01AH,553614.0,2518,COXIBS (AINES),,
C09DA,550092.0,2332,ANTAGONISTAS ANGIOTENSINA II ASOC. A DIURETICOS,,
R05CB,533201.0,2629,MUCOLITICOS,,
R03AK,507811.0,2618,ADRENERGICOS ASOCIADOS A OTROS ANTIASMATICOS,,
C09AA,505637.0,2328,INHIBIDORES ENZIMA CONVERTASA ANGIOTENSINA SOLOS,,
R03DA,487771.0,2625,XANTINAS (ANTIASMATICOS SISTEMICOS),,
C07AB,485710.0,2319,BETABLOQUEANTES SELECTIVOS SOLOS,,
M01AB,483309.0,2514,DERIVADOS DEL ACIDO ACETICO Y SUST.RELAC.(AINES),,
C03CA,477880.0,2302,SULFONAMIDAS SOLAS (DIURETICOS TECHO ALTO),,
M01AX,476965.0,2519,OTROS ANTIINFLAMATORIOS Y ANTIREUMAT. NO ESTREOID.,,
R03AC,465156.0,2617,AGONISTAS BETA-2-ADRENERGICOS SELECTIVOS,,
R06AE,462092.0,2639,DERIVADOS PIPERAZINICOS (ANTIHISTAMINICOS),,
C08CA,437111.0,2325,DERIVADOS DE DIHIDROPIRIDINA (BLOQ. DEL CALCIO),,
J01DC,435752.0,2457,CEFALOSPORINAS DE SEGUNDA GENERACIÓN,,
J01CA,429092.0,2452,PENICILINAS DE AMPLIO ESPECTRO,,
A12AX,427911.0,2250,CALCIO ASOCIADO A OTRAS SUSTANCIAS,,
