cod_presfarma,Frequency.10,codes,spanish description,english description,comment
713,1818140.0,6997,OMEPRAZOL 20 MG / 28 CAPSULAS,,
9627,1437514.0,1870,PARACETAMOL 1000 MG / 40 COMPRIMIDOS,,
5297,1302926.0,6147,IBUPROFENO 600 MG / 40 COMPRIMIDOS RECUBIERTOS,,
5933,1231843.0,6137,METAMIZOL 575 MG / 20 CAPSULAS,,
5353,833198.0,5484,DEXKETOPROFENO 25 MG / 20 COMPRIMIDOS,,
4368,665248.0,6762,AZITROMICINA 500 MG / 3 COMPRIMIDOS RECUBIERTOS,,
9295,590751.0,5928,"PARACETAMOL + TRAMADOL (325/37,5)MG / 20 COMPRIMIDOS RECUBIERTOS",,
1261,566715.0,2339,ACETILSALICILICO ACIDO 100 MG / 30 COMPRIMIDOS,,
6340,564892.0,5490,LORAZEPAM 1 MG / 50 COMPRIMIDOS,,
6289,484041.0,6717,DIAZEPAM 5 MG / 30 COMPRIMIDOS,,
6026,447827.0,2392,PARACETAMOL + CODEINA + ASCORBICO (650/10/500) MG MG / 20 SOBRES,,
6995,431516.0,2222,MEPIRAMINA 25 MG EN 5 ML / 1 FRASCO SOL ORAL DE 250 ML,,
8449,421731.0,4884,PARACETAMOL 1000 MG / 40 COMPRIMIDOS EFERVESCENTES,,
7275,386806.0,1713,TIRAS REACTIVAS GLUCOSA SANGRE 50 TIRAS REACTIVAS,,
6732,378083.0,4680,SALBUTAMOL 100 MCG EN 1 PULSACIONES / 1 INHALADOR DE 200 PULSACIONES,,
980,376864.0,2897,METFORMINA 850 MG / 50 COMPRIMIDOS,,
2770,370715.0,5566,SIMVASTATINA 20 MG / 28 COMPRIMIDOS,,
10129,357225.0,4289,PARACETAMOL 650 MG / 40 COMPRIMIDOS,,
22580,341174.0,4852,AMOXICILINA + CLAVULANICO 875/125 MG / 30 COMPRIMIDOS RECUBIERTOS,,
7575,339617.0,2394,ATORVASTATINA 20 MG / 28 COMPRIMIDOS,,
22554,331457.0,4469,CIPROFLOXACINO 500 MG / 14 COMPRIMIDOS,,
8749,324609.0,2410,CONDROITINA SULFATO 400 MG / 60 CAPSULAS,,
22583,309525.0,3791,AMOXICILINA + CLAVULANICO 500/125 MG / 30 COMPRIMIDOS RECUBIERTOS,,
4569,295085.0,5136,FOSFOMICINA 3000 MG / 2 SOBRES,,
16720,274567.0,3237,LEVOFLOXACINO 500 MG / 7 COMPRIMIDOS RECUBIERTOS CON PELICULA,,
