dias_tratamiento,Frequency.3
365,10598123.0
364,4576667.0
10,4238262.0
7,3589682.0
30,3088861.0
5,2946756.0
90,2820407.0
6,2584102.0
180,1967756.0
20,1670098.0
3,1594633.0
60,1190398.0
15,1099482.0
1,960805.0
28,899730.0
8,843826.0
4,739090.0
120,569049.0
2,539696.0
12,406535.0
40,368965.0
14,298937.0
13,273354.0
50,250210.0
56,231384.0
100,215388.0
360,188110.0
300,141894.0
150,141801.0
25,141617.0
200,133474.0
21,98423.0
9,91010.0
84,86836.0
333,82097.0
334,72850.0
80,60995.0
45,60977.0
91,59964.0
26,50711.0
303,43345.0
24,41474.0
181,39898.0
240,39738.0
350,39725.0
336,38588.0
152,38085.0
16,38043.0
272,37754.0
18,37126.0
335,36268.0
11,35795.0
35,34303.0
211,33974.0
250,32673.0
210,32470.0
182,31994.0
183,31733.0
29,30845.0
213,29803.0
190,29486.0
359,28815.0
121,28552.0
362,27982.0
242,27826.0
160,27075.0
357,25996.0
356,25317.0
358,24963.0
280,23708.0
363,22977.0
140,22957.0
273,22810.0
244,22584.0
70,21970.0
89,21693.0
274,21612.0
344,21450.0
330,21280.0
304,21221.0
305,20801.0
343,20556.0
345,20549.0
349,20527.0
270,20456.0
355,20273.0
351,20083.0
168,19940.0
342,19932.0
320,19581.0
348,19576.0
185,19566.0
361,18943.0
337,18880.0
354,18844.0
352,18758.0
346,18743.0
340,18637.0
243,18568.0
241,18488.0
353,18476.0
119,18222.0
22,18221.0
347,17500.0
122,17442.0
341,17362.0
338,17328.0
33,17209.0
112,17014.0
339,16953.0
302,16941.0
212,16862.0
61,16513.0
220,16497.0
31,16270.0
329,14824.0
271,14139.0
275,13682.0
184,13654.0
328,13474.0
290,13437.0
58,13403.0
331,13367.0
332,12925.0
315,12427.0
75,12131.0
42,12127.0
151,12081.0
322,11929.0
325,11561.0
323,11263.0
316,11188.0
326,11149.0
327,10959.0
324,10758.0
321,10752.0
260,10752.0
319,10724.0
214,10532.0
318,10475.0
314,10458.0
308,10276.0
230,10255.0
310,10193.0
317,10105.0
309,10037.0
299,9991.0
196,9981.0
88,9900.0
225,9653.0
307,9473.0
312,9353.0
265,9308.0
306,9284.0
301,9212.0
288,9170.0
313,9167.0
36,9066.0
179,9022.0
311,8860.0
222,8839.0
27,8687.0
245,8619.0
149,8601.0
215,8559.0
130,8480.0
187,8478.0
224,8366.0
252,8323.0
189,8279.0
197,8215.0
279,8128.0
195,8039.0
294,8032.0
287,8013.0
186,7964.0
281,7936.0
48,7665.0
285,7623.0
191,7585.0
283,7549.0
298,7527.0
259,7487.0
282,7430.0
217,7393.0
253,7389.0
295,7387.0
192,7382.0
284,7367.0
175,7363.0
258,7361.0
188,7349.0
194,7337.0
296,7323.0
198,7322.0
125,7316.0
266,7287.0
286,7287.0
293,7163.0
256,7133.0
234,7123.0
226,7095.0
251,7081.0
297,7077.0
237,7073.0
201,7050.0
216,7049.0
202,7046.0
278,7020.0
255,7001.0
239,6990.0
228,6979.0
218,6967.0
219,6945.0
257,6939.0
223,6930.0
246,6916.0
238,6915.0
289,6915.0
199,6914.0
72,6911.0
254,6899.0
165,6886.0
277,6874.0
203,6872.0
291,6870.0
229,6869.0
227,6832.0
32,6810.0
233,6806.0
232,6761.0
66,6761.0
193,6732.0
248,6730.0
221,6727.0
170,6724.0
208,6664.0
292,6663.0
158,6633.0
249,6596.0
267,6580.0
276,6574.0
231,6571.0
247,6567.0
209,6566.0
236,6520.0
263,6515.0
65,6504.0
264,6486.0
204,6480.0
205,6474.0
235,6426.0
178,6398.0
167,6393.0
262,6383.0
269,6225.0
169,6206.0
268,6191.0
156,6181.0
261,6102.0
207,6062.0
176,6051.0
206,5921.0
155,5843.0
154,5837.0
164,5789.0
159,5786.0
166,5776.0
110,5772.0
161,5646.0
177,5535.0
126,5498.0
105,5492.0
174,5453.0
162,5402.0
63,5381.0
128,5323.0
163,5282.0
173,5268.0
96,5212.0
157,5198.0
171,5178.0
172,5175.0
99,5102.0
135,5019.0
124,4969.0
17,4949.0
141,4948.0
95,4886.0
136,4814.0
153,4779.0
111,4761.0
97,4759.0
123,4757.0
23,4753.0
113,4676.0
148,4658.0
134,4645.0
129,4628.0
98,4609.0
118,4515.0
127,4505.0
145,4405.0
132,4383.0
147,4377.0
138,4351.0
74,4322.0
101,4312.0
93,4312.0
144,4301.0
94,4293.0
133,4290.0
131,4254.0
106,4245.0
39,4239.0
104,4223.0
115,4110.0
139,4091.0
37,4091.0
103,4040.0
102,4017.0
137,3998.0
85,3930.0
146,3913.0
107,3907.0
116,3894.0
142,3893.0
143,3859.0
19,3809.0
108,3793.0
34,3768.0
92,3757.0
114,3696.0
109,3638.0
64,3564.0
117,3504.0
87,3453.0
55,3427.0
59,3424.0
83,3382.0
71,3366.0
76,3343.0
67,3303.0
41,3269.0
62,3248.0
78,3245.0
86,3071.0
82,3041.0
77,3004.0
69,2987.0
44,2970.0
53,2953.0
81,2915.0
68,2855.0
79,2847.0
54,2630.0
46,2550.0
57,2494.0
52,2449.0
73,2397.0
49,2387.0
38,2316.0
51,2064.0
43,1985.0
47,1568.0
0,20.0
548,6.0
639,5.0
374,5.0
