fecha_fin_tratamiento,Frequency.6
2015-01-16,128157.0
2015-01-14,124283.0
2015-01-13,116141.0
2015-01-07,114693.0
2015-01-21,113831.0
2015-01-28,111938.0
2015-01-08,110853.0
2015-01-27,107881.0
2015-01-20,106334.0
2015-02-04,104824.0
2015-02-11,104783.0
2015-01-15,102919.0
2015-01-12,102770.0
2015-02-18,102656.0
2015-02-16,102577.0
2015-01-19,101863.0
2015-01-26,101510.0
2015-02-03,100980.0
2015-02-17,98414.0
2015-02-10,98271.0
2015-02-02,97919.0
2015-01-01,97628.0
2015-01-09,97479.0
2015-02-25,97467.0
2015-03-04,97263.0
2015-01-05,96535.0
2015-01-02,96319.0
2015-02-09,95284.0
2015-03-11,94619.0
2015-02-24,94431.0
2015-01-22,93554.0
2015-01-29,93175.0
2015-01-04,92940.0
2015-02-06,92922.0
2015-02-12,91772.0
2015-03-03,91622.0
2015-03-10,91431.0
2015-02-19,90947.0
2015-02-05,90934.0
2015-01-03,89589.0
2015-02-13,89403.0
2015-02-23,88645.0
2015-01-23,88203.0
2015-04-08,88191.0
2014-02-11,87981.0
2015-03-25,87832.0
2015-04-01,87514.0
2015-03-09,86431.0
2015-03-02,85789.0
2015-04-28,85768.0
2015-04-14,85662.0
2015-01-30,85563.0
2015-04-29,85412.0
2015-02-26,85353.0
2015-01-17,85255.0
2015-05-20,84180.0
2015-03-17,83812.0
2015-05-13,83312.0
2015-05-06,83169.0
2015-02-20,83124.0
2015-03-16,83050.0
2015-05-27,82895.0
2015-03-05,82887.0
2015-03-31,82842.0
2015-04-21,82687.0
2015-02-27,82686.0
2015-12-15,82539.0
2014-01-08,82406.0
2014-02-05,82168.0
2015-10-07,81628.0
2014-01-16,81568.0
2015-11-04,81306.0
2015-06-03,81200.0
2015-01-18,80965.0
2015-12-02,80915.0
2015-03-06,80909.0
2015-11-25,80757.0
2015-03-12,80639.0
2015-09-30,80623.0
2014-01-14,80568.0
2015-11-11,80220.0
2015-11-18,80160.0
2014-02-12,80120.0
2015-03-26,80093.0
2015-10-14,79915.0
2015-06-10,79650.0
2015-05-26,79495.0
2015-10-28,79309.0
2015-03-13,79097.0
2015-03-24,78949.0
2015-10-20,78947.0
2015-03-18,78727.0
2015-06-17,78570.0
2014-01-15,78494.0
2015-04-23,78491.0
2014-01-22,78438.0
2015-12-09,78391.0
2015-04-22,78253.0
2015-06-09,78233.0
2015-05-19,78158.0
2015-03-30,77764.0
2015-01-11,77730.0
2015-04-15,77729.0
2015-01-10,77667.0
2015-11-20,77545.0
2015-06-02,77502.0
