fecha_inicio_tratamiento,Frequency.7
2014-12-30,153870.0
2014-12-29,147999.0
2014-12-16,140083.0
2014-12-15,136328.0
2014-12-18,135325.0
2014-12-17,133617.0
2014-01-08,128479.0
2014-12-10,128132.0
2014-01-13,127222.0
2014-12-23,126653.0
2014-12-22,126457.0
2014-12-11,126441.0
2014-01-14,126204.0
2014-01-09,125555.0
2014-01-15,124372.0
2014-01-21,122809.0
2014-12-09,121502.0
2014-12-03,121291.0
2014-12-19,120328.0
2014-12-02,120176.0
2014-10-14,119960.0
2014-01-16,119022.0
2014-01-07,119013.0
2014-10-15,117739.0
2014-11-18,117683.0
2014-11-24,116892.0
2014-01-10,116788.0
2014-11-26,116259.0
2014-01-27,115813.0
2014-12-04,115599.0
2014-10-21,115546.0
2014-10-28,115365.0
2014-10-20,115042.0
2014-01-28,114928.0
2014-10-13,114804.0
2014-12-12,114684.0
2014-11-11,114423.0
2014-12-01,114124.0
2014-11-17,114084.0
2014-11-19,113940.0
2014-11-04,113717.0
2014-10-22,113437.0
2014-10-27,113407.0
2014-01-23,113302.0
2015-01-13,113215.0
2014-10-16,112977.0
2014-11-12,112934.0
2014-11-10,112078.0
2015-01-12,111798.0
2014-01-29,111721.0
2014-10-29,111437.0
2014-11-03,111417.0
2015-01-14,111262.0
2014-11-05,111112.0
2014-02-04,111034.0
2014-11-20,110068.0
2014-10-06,109533.0
2014-11-25,109359.0
2014-10-07,109272.0
2014-12-26,109069.0
2015-01-08,108877.0
2014-11-13,108561.0
2014-10-23,108457.0
2014-01-20,108196.0
2014-11-27,107941.0
2014-05-06,107875.0
2015-01-15,107352.0
2014-02-11,107182.0
2014-03-25,106896.0
2015-01-26,106806.0
2014-02-03,106690.0
2014-01-17,106417.0
2014-04-30,106355.0
2015-01-19,106194.0
2015-01-27,105779.0
2014-01-30,105768.0
2014-03-24,105651.0
2015-01-20,105584.0
2014-10-08,105438.0
2014-02-10,105282.0
2014-03-26,104901.0
2014-02-05,104754.0
2014-04-08,104727.0
2014-04-29,104712.0
2014-11-06,104607.0
2014-03-11,104569.0
2015-01-21,104200.0
2014-02-18,104082.0
2014-02-12,103856.0
2014-03-31,103673.0
2014-02-25,103656.0
2015-01-28,103579.0
2014-05-07,103424.0
2014-12-05,103410.0
2014-04-01,103399.0
2014-04-15,103109.0
2014-10-30,103096.0
2014-02-17,103057.0
2014-10-01,103010.0
2014-03-10,102993.0
2014-03-04,102807.0
2014-04-14,102792.0
2014-05-05,102744.0
2014-09-30,102545.0
2015-02-02,102534.0
2014-01-24,102477.0
2014-02-19,102161.0
2014-05-13,101942.0
2014-02-24,101757.0
2015-01-09,101736.0
2014-04-02,101722.0
2014-02-06,101265.0
2015-01-07,101197.0
2014-03-20,100970.0
2015-02-03,100723.0
2014-09-23,100646.0
2014-03-03,100584.0
2014-04-23,100573.0
2014-03-05,100556.0
2015-01-29,99893.0
2014-04-09,99621.0
2014-09-29,99593.0
2014-02-13,99367.0
2014-10-02,99363.0
2014-05-20,99147.0
2015-02-10,98971.0
2014-01-22,98732.0
2014-03-12,98723.0
2014-04-16,98554.0
2014-05-27,98521.0
2015-02-09,98518.0
2014-05-08,98500.0
2014-05-14,98209.0
2014-02-26,98129.0
2014-09-24,98106.0
2014-11-14,98092.0
2014-04-07,97908.0
2015-02-16,97754.0
2014-03-27,97673.0
2014-06-03,97635.0
2015-01-16,97573.0
2014-02-20,97566.0
2014-05-19,97076.0
2014-09-17,97034.0
2014-05-12,96937.0
2014-10-24,96883.0
2014-04-03,96734.0
2014-03-21,96663.0
2014-03-13,96589.0
2014-11-07,96369.0
2014-03-06,96352.0
2014-06-10,96302.0
2014-02-27,95966.0
2015-12-15,95538.0
2014-05-28,95446.0
2014-10-17,95286.0
2014-05-26,95182.0
2014-06-17,95150.0
2015-02-17,95147.0
2014-04-24,95077.0
2015-12-14,95063.0
2014-09-22,94969.0
2014-09-16,94947.0
2014-06-09,94734.0
2014-09-18,94655.0
2014-05-21,94513.0
2014-01-31,94475.0
2014-11-21,94287.0
2014-09-25,94040.0
2015-03-24,94028.0
2015-02-23,93485.0
2015-02-11,93437.0
2014-04-22,93361.0
2014-01-02,93351.0
2015-02-05,93345.0
2015-03-30,92989.0
2014-06-16,92942.0
2015-02-18,92927.0
2014-05-15,92890.0
2015-03-31,92763.0
2015-12-16,92695.0
2014-05-22,92640.0
2015-04-14,92620.0
2015-04-20,92602.0
2015-10-19,92376.0
2014-06-18,92332.0
2014-06-04,92209.0
2015-05-05,92001.0
2015-02-24,91925.0
2015-04-21,91646.0
2014-02-07,91586.0
2015-10-26,91314.0
2015-03-25,91138.0
2014-11-28,91137.0
2015-04-15,91060.0
2015-02-04,90957.0
2015-03-03,90867.0
2014-10-31,90814.0
2014-01-03,90788.0
2015-10-06,90675.0
2014-09-15,90524.0
2015-10-27,90488.0
2015-03-10,90451.0
2014-03-17,90369.0
2015-10-20,90318.0
2015-04-08,90304.0
2015-10-14,90095.0
2015-02-12,90048.0
2015-02-25,90005.0
2015-12-17,89717.0
2015-03-02,89674.0
2014-05-29,89474.0
2015-02-19,89463.0
2014-06-11,89423.0
2015-10-05,89277.0
2015-03-23,89248.0
2015-12-10,89111.0
2015-12-01,89062.0
2014-06-02,88931.0
2015-10-28,88891.0
2015-11-17,88740.0
2015-05-04,88689.0
2015-11-09,88678.0
2014-06-05,88545.0
2015-10-21,88492.0
2014-09-10,88487.0
2015-11-10,88305.0
2015-04-01,88302.0
2015-05-06,88299.0
2015-01-23,88243.0
2015-03-16,88101.0
2015-11-24,87961.0
2015-03-26,87906.0
2015-03-09,87752.0
2015-12-21,87727.0
2015-05-12,87711.0
2014-05-09,87682.0
2015-03-04,87671.0
2014-09-09,87646.0
2015-11-23,87644.0
