unidad_posologia,Frequency.13
COMPRIMIDO,30665220.0
CAPSULA,7630873.0
SOBRE,2517241.0
[Vacio],2263376.0
ML,1371967.0
CREMA/GEL/POMADA,1219809.0
GOTA OFTALMICA,1205876.0
PULSACION,1114816.0
JERINGA PRECARGADA,467665.0
PULVERIZACION,456266.0
ML (100 UI) INSULINA,414334.0
APLICACION TOPICA,409058.0
GRAGEA,406311.0
AMPOLLA,404979.0
TIRA REACTIVA,378871.0
COMPRIMIDO EFERVESCENTE,345960.0
AMPOLLA BEBIBLE,285388.0
PARCHE TRANSDERMICO,271037.0
APOSITO,249704.0
GOTAS OTICAS,229415.0
PAÑAL DIA,223682.0
ML SOLUCION USO EXTERNO,200990.0
PAÑAL SUPERNOCHE,188592.0
CREMA,187935.0
TABLETA,180339.0
ENVASE MONODOSIS OFTALMICO,143173.0
POMADA,134214.0
GOTAS ORALES,132724.0
AGUJA,130898.0
APLICACION OFTALMICA,127706.0
GRAMO GEL,120163.0
CAPSULA INHALACION,96077.0
OVULO VAGINAL,92644.0
VIAL,91654.0
COMPRESAS,86960.0
COMPRIMIDO MASTICABLE,86192.0
BOTELLA,85925.0
MEDIA,85193.0
COMPRIMIDO/TABLETA DISPERSABLE,83857.0
PAÑAL NOCHE,74531.0
EMULSION,72369.0
APLICACION VAGINAL,54979.0
LIOTABS,41954.0
CAMARA INHALACION,36322.0
BOLSA ORINA,34290.0
GRAMOS,33483.0
POLVO (1 G),30003.0
MG,29900.0
FRASCO,29228.0
LANCETA,27347.0
RODILLERA,26087.0
ENVASE MONODOSIS OTICO,23054.0
CUCHARA (5 ML),22652.0
SUPOSITORIO,21918.0
UNGUENTO,21102.0
ESPARADRAPO,19600.0
GOTA GEL (40 MG),19560.0
BOTE,18376.0
TOBILLERA,17900.0
ENEMA,17299.0
BOLSA COLOSTOMIA,16464.0
NEBULIZACION MONODOSIS,16442.0
SOLUCION PERFUSION (100 ML),14903.0
LOCION,14798.0
APOSITO B OSTOMIA,13656.0
SONDA VESICAL,12364.0
ML SOLUCION INHALACION,12228.0
MUÑEQUERA,10286.0
SOLUCION IRRIGACION,9839.0
BOLSA ILEOSTOMIA,8997.0
BOLSA,8518.0
BOLSA UROSTOMIA,8350.0
"MEDIDA (2,5 G)",7711.0
ACCES SIST IRRIG COLOST,7374.0
ENVASE MONODOSIS OFTALMICO (1 GOTA),7038.0
APLICACION RECTAL,6995.0
TOALLITA,6860.0
ENVASE MONODOSIS,6452.0
JERINGA,6357.0
ESPUMA,6305.0
GOTAS NASALES,5228.0
VENDA,5149.0
"DOSIS DE 20MCG (0,2ML)",4743.0
COLECTOR ORINA,4570.0
IMPLANTE,3726.0
BRIK,3683.0
COMPRIMIDO VAGINAL,2845.0
CARTUCHO/PLUMA,2650.0
SMARTFLEX,2636.0
PARCHE OCULARES,2578.0
INHALADOR,2371.0
CONTENEDOR,2336.0
CINTURON OSTOMIA,2232.0
CODERA,2219.0
"DOSIS DE 10MCG (0,04ML)",2084.0
COMPRIMIDOS,2077.0
BRAGUERO INGUINAL,1798.0
"DOSIS DE 10MCG (0,2ML)",1716.0
UNIDAD,1556.0
CARTUCHO,1488.0
CAPSULAS,1323.0
ANILLO VAGINAL,1269.0
TETRAPACK,1131.0
TIRA,1041.0
CALCETIN ELASTICO,1040.0
SOLUCION OFTALMICA,1008.0
BOLSA NUTRICION,754.0
GRAGEAS,745.0
PASTILLA,733.0
CANULA,706.0
FILTROS LARINGECTOMIA,508.0
SONDA RECTAL,482.0
CUCHARA,469.0
SIST IRRIG COLOST,460.0
FAJA,434.0
SIST COLOST CONTINENTE,412.0
"DOSIS 0,2 ML",361.0
APOSITOS ADHESIVOS FILTROS LARINGECTOMIA,352.0
ML (200 UI) INSULINA,311.0
SUSPENSORIO,300.0
CHICLE,272.0
TUL,251.0
"DOSIS 5MCG (0,02ML)",225.0
MUSLERA,217.0
EMPAPADOR,191.0
DUCHA VAGINAL,178.0
FRASCO PERFUSION,177.0
OBTURADOR,132.0
DISPOSITIVO INTRAUTERINO,131.0
BOTE NUTRICION,82.0
LATA,79.0
FRASCOS USO EXTERNO,65.0
CEPILLO DENTAL,47.0
CHEERPACK,44.0
FILTRO COLOSTOMIA,44.0
ESPONJA,43.0
DOYPACK,37.0
COLLARIN,34.0
MASCARILLA,32.0
PAÑAL,32.0
IRRIGADOR COMPLETO,30.0
CUCHARADA (100MG),28.0
SONDA GASTRICA,27.0
SOPORTE CINTURON OSTOMIA,27.0
PLANTILLA,26.0
PILDORA,26.0
AMPOLLA DOBLE,25.0
COMPRIMIDO PARA DISOLUCION,24.0
PARCHES OCULARES,17.0
LAPIZ,12.0
GUANTE,12.0
BRAGA,11.0
SEPARADEDO,9.0
CINCHA ROTULIANA,7.0
PACK,7.0
PINZAS ORINA,5.0
AMPOLLAS,5.0
GRAMOS CONTRASTE RADIOLOGICO,5.0
