sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:spanish description,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
EXTBACA,Ext.BACA,1,,Ext.BACA,1.1689465045928955,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
ADDBACA,Add.BACA,1,,Add.BACA,1.1014063358306885,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
ABD_MUHO,Abd. MUSC. Shoulder,1,,Abd. Musc. Hombro,0.9001970291137695,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
SONDPREV,previous drillhole,1,,Sondaje previo,1.1236542463302612,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
MOVFET,Fetal movements,1,,Movimientos Fetales,1.3498791456222534,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
ADDBMCA,Add.BMCA,1,,Add.BMCA,0.9586766958236694,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
FRACCADE,hip osteoporotic fracture,1,,Fractura osteoporótica cadera,1.0938448905944824,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
GCPREP,preprandial blood glucose,27,,glucemia capilar prepandrial,1.1373950242996216,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
FLIFMUMA,Flex. IF. MUSC. Hand,1,,Flex. IF. Musc. Mano,0.8052354454994202,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
TFNOCENT,phone center,1,,Teléfono centro,1.6195743083953857,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
LATIDOLU,Left lateralization. Artic. Dorsolumbar,1,,Lateralizacion Izq. Artic. Dorso-Lumbar,0.8038737773895264,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
FECHIMPL,implementation date,1,,Fecha implantación,1.3383350372314453,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
DETE_CO,CO in air determination exalado,1,,determinación CO en aire exalado,1.041596531867981,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
FLEXMURO,Flex. MUSC. Knee,1,,Flex. Musc. Rodilla,0.9179930686950684,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
SEGUJUDI,judicial follow-up,1,,Seguimiento judicial,0.7805272936820984,4147571,Follow-up,SNOMED,Observation,S,0,1,Clinical Finding,310341009,19700101,20991231,
ADDHMUHO,Add. Horiz. Art. Shoulder,1,,Add. Horiz. Art. Hombro,0.7563069462776184,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
VOLUPROS,prostate volume,1,,Volumen prostático,1.4216563701629639,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
SEMGES,Gestation week,1,,Semana Gestación,1.3614861965179443,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
ROEXMUHO,Rot. Ext. Musc. Shoulder,1,,Rot. Ext. Musc. Hombro,0.8566608428955078,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
CO,Carbon monoxide,1,,Monóxido de carbono,1.0,4198996,Carbon monoxide,SNOMED,Observation,S,0,2,Substance,51765001,19700101,20991231,
DIFITOMA,Difficulty in making?,25,,¿Dificultad en toma?,0.608074963092804,37018475,Difficulty taking medication,SNOMED,Observation,S,0,1,Clinical Finding,715037005,20160131,20991231,
TARECTTA,DRE (Size),1,,Tacto rectal (Tamaño),1.3314876556396484,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
DIRECENT,center address,1,,Dirección centro,1.341242790222168,4172704,>,SNOMED,Meas Value Operator,S,0,1,Qualifier Value,276140008,19700101,20991231,
