sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:spanish description,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
F-SS-13,,1,,TARJETA OTRA CCAA  AC EN ZONA LIMITROFE,0.0,0,Unmapped,,,,0,0,,,,,
S-N-16,,1,,NA SIN RECURSOS CV,0.0,0,Unmapped,,,,0,0,,,,,
S-CS-32,,1,,CONVENIO ESPECIAL,0.0,0,Unmapped,,,,0,0,,,,,
S-N-5,,1,,ACRED. DESCONOCIDA: YA NO ESTA EN TES,0.0,0,Unmapped,,,,0,0,,,,,
S-DS-44,,1,,ISFAS URGENCIA DISCAPACIDAD INDEFINIDA,0.0,0,Unmapped,,,,0,0,,,,,
F-SS-31,,1,,PERCEPT. RENTA INSER. SOCIAL CCAA,0.0,0,Unmapped,,,,0,0,,,,,
C-C5-1,Telefonica ,1,,TELEFONICA,0.6301742792129517,19072857,Cefonicid,RxNorm,Drug,S,10,2,Ingredient,2183,19700101,20991231,
F-MUT-1,,1,,TARJETA OTRA CCAA MUTUAL.PUBLICO,0.0,0,Unmapped,,,,0,0,,,,,
F-SS-18,,1,,EXPEDIENTE SR-PN MAYOR 65,0.0,0,Unmapped,,,,0,0,,,,,
F-SS-22,Disability / handicap,1,,DISCAPACITADOS LISMI,0.7217703461647034,44790618,Disability of hand,SNOMED,Condition,S,0,1,Clinical Finding,239621000000107,20140401,20991231,
S-CS-25,,1,,POLIZA PACIENTE PRIVADO,0.0,0,Unmapped,,,,0,0,,,,,
S-N-9,Case file denied,1,,EXPEDIENTE DENEGADO,0.636341392993927,40480940,Denied,SNOMED,Observation,S,0,1,Qualifier Value,441889009,20090731,20991231,
F-SS-6,Double coverage with Mugeju ? ,1,,DOBLE COBERTURA CON MUGEJU PN,0.2810479402542114,4128947,Double contrast technique,SNOMED,Observation,S,0,1,Qualifier Value,261069001,19700101,20991231,
S-DS-38,,1,,ISFAS 1 DISCAPACIDAD INDEFINIDA,0.0,0,Unmapped,,,,0,0,,,,,
F-SS-17,?,1,,EXPEDIENTE SR-AC MENOR 65,0.0,0,Unmapped,,,,0,0,,,,,
S-DS-41,,1,,ISFAS 4 (AS PARCIAL) DISCAPACIDAD INDEF,0.0,0,Unmapped,,,,0,0,,,,,
S-CS-21,Agreement health counseling,1,,CONVENIO CONSELLERIA SANIDAD,0.6820712685585022,42528229,Mental health Agreement,LOINC,Measurement,S,0,1,Clinical Observation,84194-0,20170221,20991231,
S-DS-23,,1,,EXPEDIENTE SR DISCAPACIDAD INDEFINIDA,0.0,0,Unmapped,,,,0,0,,,,,
S-CS-20,,1,,PROTECCION FAMILIAR BENEF.,0.0,0,Unmapped,,,,0,0,,,,,
