source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
F-SS-11,0,ABUCASIS_MODALIDAD,ACTIVE person with benefits from Social Security but he is from another Autonomous community,4330024,SNOMED,1970-01-01,2099-12-31,
S-CS-2,0,ABUCASIS_MODALIDAD,Unemployed,45877709,LOINC,1970-01-01,2099-12-31,
F-EX-1,0,ABUCASIS_MODALIDAD,European Health insurance card,44810106,SNOMED,1970-01-01,2099-12-31,
S-DS-6,0,ABUCASIS_MODALIDAD,Long-term handicap/disability (and receives help from government),4091830,SNOMED,1970-01-01,2099-12-31,
F-SS-24,0,ABUCASIS_MODALIDAD,Unemployed and receives unemployment benefits,4053252,SNOMED,1970-01-01,2099-12-31,
F-SS-24,0,ABUCASIS_MODALIDAD,Unemployed and receives unemployment benefits,4251171,SNOMED,1970-01-01,2099-12-31,
F-SS-23,0,ABUCASIS_MODALIDAD,Receives unemployment benefits,4053252,SNOMED,1970-01-01,2099-12-31,
F-SS-26,0,ABUCASIS_MODALIDAD,Receives other benefits,4330024,SNOMED,1970-01-01,2099-12-31,
F-SS-26,0,ABUCASIS_MODALIDAD,Receives other benefits,4076204,SNOMED,1970-01-01,2099-12-31,
F-SS-26,0,ABUCASIS_MODALIDAD,Receives other benefits,4076204,SNOMED,1970-01-01,2099-12-31,
S-N-13,0,ABUCASIS_MODALIDAD,Still not classified in any category. Person need to deliver some documents.,45877986,LOINC,1970-01-01,2099-12-31,
F-SS-20,0,ABUCASIS_MODALIDAD,Unemployed and not receives unemployment benefits,45877709,LOINC,1970-01-01,2099-12-31,
F-EX-5,0,ABUCASIS_MODALIDAD,Person who has European Health Card,44810106,SNOMED,1970-01-01,2099-12-31,
S-N-2,0,ABUCASIS_MODALIDAD,Without insurance,36309998,LOINC,1970-01-01,2099-12-31,
F-SS-19,0,ABUCASIS_MODALIDAD,Unemployed and not receives unemployment benefits,45877709,LOINC,1970-01-01,2099-12-31,
F-SS-25,0,ABUCASIS_MODALIDAD,Receives benefits for social integration,4330024,SNOMED,1970-01-01,2099-12-31,
S-CS-26,0,ABUCASIS_MODALIDAD,Unemployed,45877709,LOINC,1970-01-01,2099-12-31,
F-SS-1,0,ABUCASIS_MODALIDAD,Registered/admitted in the Social security system AND active,4147258,SNOMED,1970-01-01,2099-12-31,
F-SS-12,0,ABUCASIS_MODALIDAD,PENSIONER person with benefits from Social Security but he is from another Autonomous community,4147258,SNOMED,1970-01-01,2099-12-31,
F-EX-2,0,ABUCASIS_MODALIDAD,EUROPEAN HEALTH CARD - CPS PN,44810106,SNOMED,1970-01-01,2099-12-31,
F-SS-4,0,ABUCASIS_MODALIDAD,Registered/admitted in the Social security system AND Pensioner,4147258,SNOMED,1970-01-01,2099-12-31,
F-SS-4,0,ABUCASIS_MODALIDAD,Registered/admitted in the Social security system AND Pensioner,4022069,SNOMED,1970-01-01,2099-12-31,
F-SS-28,0,ABUCASIS_MODALIDAD,Spanish resident,45884724,LOINC,1970-01-01,2099-12-31,
F-SS-28,0,ABUCASIS_MODALIDAD,Spanish resident,45880389,LOINC,1970-01-01,2099-12-31,
