source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1107A,0,ABUCASIS_PRINACTIVO,EFAVIRENZ,1738135,RxNorm,1970-01-01,2099-12-31,
1208A,0,ABUCASIS_PRINACTIVO,BACILLUS SUBTILIS,42898675,RxNorm,1970-01-01,2099-12-31,
559A,0,ABUCASIS_PRINACTIVO,CAPSAICINA,939881,RxNorm,1970-01-01,2099-12-31,
7032A,0,ABUCASIS_PRINACTIVO,FACTOR XIII,19106100,RxNorm,1970-01-01,2099-12-31,
1804A,0,ABUCASIS_PRINACTIVO,JOSAMICINA,19123240,RxNorm,1970-01-01,2099-12-31,
9061A,0,ABUCASIS_PRINACTIVO,VEDOLIZUMAB,45774639,RxNorm,1970-01-01,2099-12-31,
7394A,0,ABUCASIS_PRINACTIVO,DOCETAXEL,1315942,RxNorm,1970-01-01,2099-12-31,
2630A,0,ABUCASIS_PRINACTIVO,MOXONIDINA,19011021,RxNorm,1970-01-01,2099-12-31,
2684A,0,ABUCASIS_PRINACTIVO,LEVODROPROPIZINA,40798914,RxNorm Extension,1970-01-01,2099-12-31,
90396A,0,ABUCASIS_PRINACTIVO,LACTOBACILLUS PLANTARUM,35602886,RxNorm,1970-01-01,2099-12-31,
869B,0,ABUCASIS_PRINACTIVO,EDTA,1741008,RxNorm,1970-01-01,2099-12-31,
8703A,0,ABUCASIS_PRINACTIVO,CANAGLIFLOZINA,43526465,RxNorm,1970-01-01,2099-12-31,
108A,0,ABUCASIS_PRINACTIVO,AMOXICILINA,1713332,RxNorm,1970-01-01,2099-12-31,
2719A,0,ABUCASIS_PRINACTIVO,IRINOTECAN,1367268,RxNorm,1970-01-01,2099-12-31,
64A,0,ABUCASIS_PRINACTIVO,MONTELUKAST,1154161,RxNorm,1970-01-01,2099-12-31,
2373A,0,ABUCASIS_PRINACTIVO,PROPOFOL,753626,RxNorm,1970-01-01,2099-12-31,
3897A,0,ABUCASIS_PRINACTIVO,PREGABALINA,734354,RxNorm,1970-01-01,2099-12-31,
