source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
CCD00154N,0,ABUCASIS_TIP_PREST,LEUCOCYTES (blood),3010813,LOINC,1970-01-01,2099-12-31,
CCD00029N,0,ABUCASIS_TIP_PREST,ABSOLUTE basophils (blood),3006315,LOINC,1970-01-01,2099-12-31,
300113010000N0000028,0,ABUCASIS_TIP_PREST,Creatinine (blood),4013964,SNOMED,1970-01-01,2099-12-31,
CCD00160N,0,ABUCASIS_TIP_PREST,Lymphocytes (BLOOD),3002030,LOINC,1970-01-01,2099-12-31,
CCD00140N,0,ABUCASIS_TIP_PREST,Mean corpuscular hemoglobin (blood),4182871,SNOMED,1970-01-01,2099-12-31,
CCD00228N,0,ABUCASIS_TIP_PREST,AVERAGE VOLUME platelet (blood),4192368,SNOMED,1970-01-01,2099-12-31,
CCD00178N,0,ABUCASIS_TIP_PREST,Neutrophils (BLOOD),3018010,LOINC,1970-01-01,2099-12-31,
300113010000N0000043,0,ABUCASIS_TIP_PREST,GLUCOSE (Blood),4144235,SNOMED,1970-01-01,2099-12-31,
CCD00137N,0,ABUCASIS_TIP_PREST,RED BLOOD CELLS (blood),4030871,SNOMED,1970-01-01,2099-12-31,
CCD00168N,0,ABUCASIS_TIP_PREST,ABSOLUTE monocytes (BLOOD),3001604,LOINC,1970-01-01,2099-12-31,
CCD00090N,0,ABUCASIS_TIP_PREST,EOSINOPHILS (blood),3006504,LOINC,1970-01-01,2099-12-31,
CCD00028N,0,ABUCASIS_TIP_PREST,BASOPHILS (blood),3022096,LOINC,1970-01-01,2099-12-31,
CCD00167N,0,ABUCASIS_TIP_PREST,Monocytes (BLOOD),3019069,LOINC,1970-01-01,2099-12-31,
CCD00192N,0,ABUCASIS_TIP_PREST,Platelets (blood),3007461,LOINC,1970-01-01,2099-12-31,
CCD00138N,0,ABUCASIS_TIP_PREST,HEMATOCRITO (blood),3009542,LOINC,1970-01-01,2099-12-31,
CCD00139N,0,ABUCASIS_TIP_PREST,Hemoglobin (blood),3000963,LOINC,1970-01-01,2099-12-31,
CCD00069N,0,ABUCASIS_TIP_PREST,CONCENTRATION mean corpuscular hemoglobin (blood),4290193,SNOMED,1970-01-01,2099-12-31,
300113010000N0000056,0,ABUCASIS_TIP_PREST,TRIGLYCERIDES (Blood),4032789,SNOMED,1970-01-01,2099-12-31,
CCD00226N,0,ABUCASIS_TIP_PREST,MIDDLE corpuscular volume (blood),3024731,LOINC,1970-01-01,2099-12-31,
CCD00161N,0,ABUCASIS_TIP_PREST,Absolute lymphocyte (blood),3019198,LOINC,1970-01-01,2099-12-31,
