sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:spanish description,matchScore,mappingStatus,conceptId,comment
300113020000K0000088,POTASSIUM,1,,POTASIO,0.8279411196708679,UNCHECKED,4173269,
300113020000K0001082,Microalbumin IN 24 HOURS,1,,MICROALBUMINA EN 24 HORAS,0.6973080039024353,UNCHECKED,40761532,
300113030100N0000137,Immunoglobulin G (IGG) BLOOD,1,,INMUNOGLOBULINA G (IGG) SANGRE,0.5625532865524292,UNCHECKED,4353854,
CCD00199N,BASAL Prolactin (blood),1,,PROLACTINA BASAL  (EN SANGRE),0.4335058629512787,UNCHECKED,4353845,
121209040,AC. ANTI-CYTOMEGALOVIRUS IGG ELISA method,1,,AC. ANTI-CYTOMEGALOVIRUS IGG METODO ELISA,0.5603694915771484,UNCHECKED,4196849,
300113120800F0001610,PCR pericardial fluid,1,,PCR LÍQUIDO PERICÁRDICO,0.6511002779006958,UNCHECKED,3005332,
121209300,AC. ANTI-IGG PARVOVIRUS B19 ELISA method,1,,AC. ANTI-PARVOVIRUS B19 IGG METODO ELISA,0.5689975023269653,UNCHECKED,4201774,
CCD00279N,ANTI AC transglutaminase IgA (blood),1,,AC ANTI TRANSGLUTAMINASA IgA (EN SANGRE),0.6065846085548401,UNCHECKED,4135428,
300113121400X0001234,COUNTING BIOLOGICAL LIQUIDS RBCs S.E,1,,RECUENTO HEMATIES LÍQUIDOS BIOLÓGICOS S.E,0.20299094915390015,UNCHECKED,40759097,
300113030204N0000284,SPECIFIC IGE CHESTNUT,1,,IGE ESPECIFICA  CASTAÑA,0.7226966619491577,UNCHECKED,4311178,
300113030201N0000183,Penicillin V SPECIFIC IGE,1,,IGE ESPECIFICA  PENICILINA V,0.6086061000823975,UNCHECKED,3026029,
300113030100N0000156,RETINOL carrier protein (PBR),1,,PROTEÍNA TRANSPORTADORA DE RETINOL (PBR),0.3007124662399292,UNCHECKED,4135657,
3012340108205013105,"Helicobacter pylori, DETECTION AG, STOOL, ELISA",1,,"HELICOBACTER PYLORI, DETECCIÓN AG, HECES, ELISA",0.5705652832984924,UNCHECKED,44813179,
CCD00389N,Prolactin 2nd TOMA (blood),1,,PROLACTINA 2ª TOMA (EN SANGRE),0.29363563656806946,UNCHECKED,21491546,
300113120200U0001108,Pancreatic elastase 1 STOOL,1,,ELASTASA PANCREÁTICA 1 HECES,0.4950558543205261,UNCHECKED,3034965,
MUE000128,EXUDATE flesh wound,1,,EXUDADO HERIDA SUPERFICIAL,0.679492175579071,UNCHECKED,43055254,
