sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:atc,matchScore,mappingStatus,conceptId,comment
1107A,EFAVIRENZ,949,40236068;19107376;1738140;1738141;19028907;19047768;19102184;1738135;1738167;19028908;1738165;19028909,J05AG03,1.0,AUTO_MAPPED,1738135,
1637A,ISONIAZIDA,8,,J04AC51,0.9140788316726685,UNCHECKED,1782521,
63SO,CITRATO SODICO*,53,,,0.3070797324180603,UNCHECKED,19011034,
1571A,FLUOROMETOLONA,26752,,V09IX07,0.7764923572540283,UNCHECKED,955583,
200309A,MICONAZOL + INOSINA + GUANOSINA + VITAMINA F,6324,,D01AC52,0.5453994274139404,UNCHECKED,19009405,
2273A,RIFAMPICINA,4106,19019811;19035491;1763256;19006752;19006753;1763294;19022342;1763292;19107909;19025864;19025865;19128599;19128598;19019700;19022105;1763335;1763204;1763333,J04AB02,0.9759879112243652,AUTO_MAPPED,1763204,
1208A,BACILLUS SUBTILIS,0,,A07FA51,1.0,UNCHECKED,42898675,
559A,CAPSAICINA,111779,,N01BX04,0.9767504334449768,APPROVED,939881,
1456A,ESTROGENOS CONJUGADOS,68,19077090;19077089;19018977;19077088;1586834;1586836;1549080;19106866;19012531;19133168;19113334;1596800;19124094;19112573;19124092;1596792;1549111;19038851;19124098;1586810;19077121;19124096;1549105;1549104;1596799;19103754;19103753;19113865;19103752;19125519;19127439;19127437;19068306;19026256;19026257;19123728;19102487;1549218;1596781;19077083;1549103;19077082;19102815;19077087;19040158;19077085;19077084,G03CA57,0.6612011194229126,AUTO_MAPPED,1549080,
7032A,FACTOR XIII,0,40238133;40238132;19106100,B02BD07,1.0,AUTO_MAPPED,19106100,
1804A,JOSAMICINA,1558,19123240,J01FA07,0.7227290868759155,AUTO_MAPPED_TO_1,19123240,
1138A,REPROTEROL CLORHIDRATO,0,,R03AC15,0.5375346541404724,UNCHECKED,19035396,
8361A,VINFLUNINA,0,,L01CA05,0.9604825973510742,UNCHECKED,36878852,
59A,RIBOFLAVINA*,73,19062818;19062880;19062817;19057061;19057040;19105659;19027834;19062875;19027835;19027832;19059096;19099672;19027833;19062873;19106911;19062878;19106910;19062879;19062876;19062877,A11HA04,0.6955061554908752,AUTO_MAPPED,19062817,
1220A,CARDO MARIANO,962,,,0.34129056334495544,UNCHECKED,1383925,
201314A,KETOCONAZOL + ACETONIDO TRIAMCINOLONA,23,,,0.6072374582290649,UNCHECKED,903963,
200411A,SOLUCION ELECTROLITOS HEMOFILTRACION,0,,B05ZB91,0.3278079032897949,UNCHECKED,1396131,
201319A,METFORMINA + DAPAGLIFLOZINA,3509,,A10BD15,0.8047442436218262,UNCHECKED,1503297,
200858A,PREPARADOS CON SALICILATOS,1247,,M02AX10,0.3708101511001587,UNCHECKED,19136066,
316A,HIDROXICARBAMIDA,7125,1377141;1377169;1377168;1377171;1377170;19023562;1377167;19023560;19007385;19023561;1377163,L01XX05,0.5185273289680481,AUTO_MAPPED,1377141,
9061A,VEDOLIZUMAB,0,45774639,L04AA33,1.0,AUTO_MAPPED_TO_1,45774639,
3750A,IBUPROXAM,0,,M02AA93,0.5989698171615601,UNCHECKED,1177480,
124A,CITARABINA,1,19007298;19010147;19114594;1311078;40175463;40175462;1311104;1311105;19010148;19057780;19047417,L01BC01,0.6216794848442078,AUTO_MAPPED,1311078,
201265A,HIERRO PIROFOSFATO + VITAMINA C + VITAMINA B12,3070,,,0.42120882868766785,UNCHECKED,19101677,
7394A,DOCETAXEL,0,40240022;1315942;19104433;40240021;1315943;40239091;40224723;40239090;40237037;1315944,L01CD02,1.0,AUTO_MAPPED,1315942,
2630A,MOXONIDINA,6942,19011021,C02AC05,0.9720213413238525,AUTO_MAPPED_TO_1,19011021,
2684A,LEVODROPROPIZINA,13340,19067412,R05DB27,0.9790792465209961,AUTO_MAPPED_TO_1,19067412,
200422A,SOLUCION NITROGENADA  INSUFICIENCIA RENAL,0,,B05BA01,0.3592474162578583,UNCHECKED,1794280,
2696A,VIRUS VIVOS ATENUADOS VARICELA-ZOSTER,9,,J07BK02,0.6720049381256104,UNCHECKED,507832,
200961A,COMPLEJO DE PROTOMBINA HUMANA,0,19080406,B02BD01,0.12468547374010086,AUTO_MAPPED_TO_1,19080406,
7304A,MERCAPTAMINA,6,,A16AA04,0.9643992781639099,UNCHECKED,910888,
